,Quantile,risk_aversion,Target,Model-0,Model-1,Model-2,Model-3,Model-4,Model-5,Model-6,Model-7,Model-8,Ave,Insample,SalvaBench,CRPS,DF_0.1,CRPS-LR,CRPS-MLP,SalvaBench-LR,SalvaBench-MLP,DF-LR_1,DF_0,DF_1,DF-LR_0,DF-MLP_0,DF-LR_0.1,DF-MLP_0.1,DF-MLP_1
0,0.2,0.5,Z1,9.536848146,9.036344446,9.671702039,11.89540564,12.06902535,3.695917594,3.925320619,5.184863541,14.68497247,5.579460328,4.098691901,3.497744503,3.514547848,3.51050555,3.476179887,3.479852247,3.482971693,3.56569919,3.48085183,3.511751376,3.498929104,3.482703122,3.473082615,3.472654943,3.434895553,3.452932733
1,0.2,0.5,Z2,8.967422669,9.476685821,8.581433592,10.18677698,10.43915655,8.799343704,9.163169514,8.388849767,9.704428358,6.446852499,6.515818477,6.032954073,6.012864509,6.039112307,5.692297199,5.739947765,5.734731153,5.721736998,5.709961688,6.025196802,6.134121654,5.759683819,5.533113314,5.799558777,5.526053144,5.568208826
2,0.2,0.5,Z3,7.575733046,9.708266059,10.67504524,11.34938234,11.83746134,8.682254239,9.071408159,7.433733484,10.95251078,7.326675081,7.196054625,6.562713022,6.761378994,7.258098645,6.498559312,6.127826662,6.402746448,6.229702637,6.363828255,7.261750991,6.594419747,6.379058706,6.109511722,6.366362388,6.023964669,6.119491636
3,0.2,0.5,Z4,8.72121024,7.88333998,10.11122158,6.103765656,6.293299121,9.033168348,9.284537629,8.74944926,10.86575728,5.836914206,5.488893498,4.655318318,4.73388778,4.835778643,4.405717003,4.247357886,4.638214084,4.605161205,4.412113786,4.841206187,4.822813007,4.404845553,4.164281483,4.287729484,4.260485417,4.28922569
4,0.2,0.5,Z5,10.33220316,8.72652174,10.29658775,5.236733845,4.874607538,10.37672801,10.74549242,10.61986988,9.579175847,7.035074154,6.136712391,4.320908995,4.394192699,4.35783654,4.298645393,4.268080618,4.381117088,4.442379,4.304007682,4.359561648,4.36900249,4.310818268,4.371851001,4.279532614,4.257482867,4.303736411
5,0.2,0.5,Z6,10.00912724,8.870752791,9.951908106,5.702261565,5.097593655,10.11837028,10.46862125,10.34929256,9.462658267,6.968877463,6.212346035,4.833339367,4.835561333,4.868636968,4.766062761,4.847974151,4.80723209,4.859364665,4.736687813,4.88489636,4.889952363,4.741569328,4.776629739,4.747201603,4.743752161,4.735226046
6,0.2,0.5,Z7,4.585485612,9.435568568,8.800536672,9.720594169,11.59956346,11.81576585,3.396567657,5.055727342,14.32232997,5.551325987,4.06800882,3.166344963,3.174076443,3.173070384,3.178744549,3.159687495,3.209817738,3.17848395,3.205363011,3.192238519,3.173074187,3.217537416,3.16674889,3.209155514,3.184941983,3.167389498
7,0.2,0.5,Z8,5.628737685,10.16741429,9.616035044,10.85772642,12.6519276,12.85808538,4.201093942,5.951248898,15.08004895,6.555606916,5.226596958,4.079681188,4.157423203,4.12780491,4.102508688,4.085714084,4.115383851,4.086514628,4.084913224,4.142685045,4.119358598,4.108740744,4.079421814,4.079381729,4.100156497,4.084312411
8,0.2,0.5,Z9,4.337493652,8.997064775,6.865838108,9.668413539,11.79137387,12.02966755,5.3234101,5.436861063,13.76478997,5.441760457,4.517079048,3.860713573,3.912191061,3.837757959,3.859434905,3.750022309,3.774200229,3.765178563,3.845570953,3.82975214,3.881565732,3.840616481,3.761676982,3.810439616,3.761229813,3.76037432
9,0.2,0.5,Z10,12.52782722,8.477576656,10.11121278,9.305675089,8.731176044,8.505611675,12.27292767,12.80111791,12.28953502,9.060090551,8.563296929,7.156627459,7.33470937,7.263826416,6.873497904,6.867952473,7.122320688,7.255568538,6.93494419,7.26573939,7.224289405,6.934142733,6.939515887,6.932617997,6.941983361,6.739734186
