,Target,risk_aversion,Model-0,Model-1,Model-2,Model-3,Model-4,Model-5,Model-6,Model-7,Model-8,Ave,Insample,SalvaBench,CRPS,DF_0,DF_0.1,DF_1,CRPS-LR,CRPS-MLP,SalvaBench-LR,SalvaBench-MLP,DF-LR_0,DF-MLP_0,DF-LR_0.1,DF-MLP_0.1,DF-LR_1,DF-MLP_1
0,Z1,0.5,[ 6.75  9.25 10.49 11.35 11.61 11.41 10.72  9.35  7.16],[ 6.86  9.58 10.68 11.26 11.1  10.45  9.13  7.25  4.67],[ 5.87  9.1  10.57 11.53 11.76 11.41 10.52  8.84  6.29],[ 8.89 11.56 12.92 13.58 13.18 12.37 10.94  8.93  5.94],[ 8.44 11.83 13.02 13.64 13.45 12.67 11.19  8.99  5.82],[2.6  4.05 4.98 5.61 5.86 5.81 5.32 4.59 3.27],[2.77 4.41 5.36 5.9  6.02 5.71 5.27 4.5  3.2 ],[3.16 5.07 6.45 7.33 7.8  7.78 7.28 6.33 4.59],[10.16 13.9  15.1  15.81 15.56 14.45 12.62 10.02  6.33],[2.52 4.37 5.92 7.22 8.1  8.3  7.78 6.41 4.11],[2.48 4.09 5.14 5.8  6.18 6.39 6.28 5.55 3.75],[2.33 3.75 4.7  5.33 5.59 5.53 5.09 4.28 2.92],[2.43 3.83 4.73 5.32 5.55 5.47 5.1  4.38 3.15],[2.39 3.77 4.74 5.34 5.59 5.49 5.06 4.28 2.9 ],[2.4  3.78 4.74 5.34 5.58 5.48 5.05 4.27 2.92],[2.39 3.77 4.7  5.31 5.56 5.47 5.05 4.28 2.92],[2.34 3.75 4.66 5.24 5.53 5.49 5.09 4.33 3.03],[2.39 3.77 4.7  5.3  5.54 5.47 5.05 4.29 2.95],[2.35 3.76 4.71 5.32 5.61 5.6  5.23 4.42 3.13],[2.38 3.78 4.68 5.31 5.56 5.5  5.09 4.29 2.93],[2.4  3.79 4.68 5.25 5.51 5.45 5.04 4.25 2.93],[2.34 3.75 4.67 5.24 5.5  5.46 5.04 4.23 2.89],[2.35 3.75 4.66 5.27 5.53 5.49 5.09 4.32 2.99],[2.39 3.79 4.69 5.3  5.55 5.49 5.07 4.28 2.92],[2.35 3.75 4.66 5.25 5.52 5.48 5.07 4.3  2.98],[2.37 3.77 4.69 5.28 5.54 5.47 5.06 4.26 2.91]
1,Z2,0.5,[ 5.14  7.75  9.52 10.78 11.58 11.71 11.13  9.7   7.33],[ 6.14  9.35 10.85 11.7  11.78 11.42 10.4   8.68  6.12],[ 5.15  8.28  9.74 10.6  10.93 10.68  9.81  8.25  5.89],[ 7.4   9.91 11.39 12.17 11.94 11.27 10.03  8.2   5.56],[ 7.39 10.49 11.72 12.32 12.22 11.71 10.37  8.4   5.47],[ 5.54  7.96  9.66 10.67 11.35 11.51 11.23 10.2   8.22],[ 5.27  8.2  10.1  11.22 11.72 11.68 11.23 10.21  8.22],[ 4.22  6.98  9.01 10.61 11.59 11.78 11.37 10.21  8.02],[ 6.53  9.69 10.94 11.79 11.78 11.15  9.72  7.72  4.8 ],[3.19 5.63 7.44 8.62 9.21 9.16 8.5  7.03 4.43],[3.19 5.63 7.44 8.62 9.22 9.15 8.48 7.01 4.43],[3.11 5.38 7.15 8.28 8.74 8.83 8.46 7.06 4.44],[3.12 5.39 7.14 8.23 8.71 8.88 8.49 7.08 4.44],[3.15 5.44 7.22 8.42 8.85 8.87 8.5  7.08 4.44],[3.15 5.42 7.2  8.38 8.8  8.85 8.5  7.08 4.44],[3.14 5.42 7.16 8.27 8.69 8.83 8.52 7.09 4.44],[3.16 5.39 7.03 8.05 8.51 8.39 7.82 6.65 4.29],[3.19 5.4  7.01 8.   8.45 8.31 7.74 6.51 4.23],[3.17 5.48 7.14 8.24 8.79 8.64 7.84 6.45 4.19],[3.25 5.53 7.22 8.37 8.94 8.78 7.93 6.39 4.13],[3.14 5.39 7.05 8.1  8.51 8.48 8.16 6.89 4.37],[3.19 5.42 7.09 8.15 8.6  8.46 7.82 6.56 4.25],[3.17 5.42 7.08 8.13 8.59 8.38 7.86 6.69 4.31],[3.18 5.43 7.06 8.15 8.62 8.39 7.73 6.53 4.27],[3.11 5.35 6.98 8.09 8.54 8.65 8.22 6.9  4.38],[3.18 5.34 6.9  7.91 8.21 8.05 7.41 6.12 3.93]
2,Z3,0.5,[ 3.82  6.4   8.28  9.51 10.47 10.77 10.34  9.22  7.19],[ 5.69  8.37 10.14 11.48 12.31 12.65 12.53 11.56  9.52],[ 5.78  9.15 11.01 12.33 13.08 13.19 12.75 11.24  8.76],[ 7.44 10.31 12.07 13.11 13.29 12.87 12.04 10.33  7.46],[ 7.58 10.89 12.57 13.53 13.78 13.38 12.3  10.45  7.56],[ 4.54  7.1   9.12 10.6  11.64 12.3  12.4  11.77  9.95],[ 4.51  7.43  9.53 11.02 11.86 12.24 12.3  11.6   9.89],[ 3.64  6.02  8.02  9.53 10.56 10.96 10.79  9.77  7.82],[ 6.88 10.25 11.88 12.94 13.17 12.62 11.45  9.43  6.28],[ 3.4   6.08  8.16  9.52 10.29 10.26  9.45  7.67  4.73],[ 3.39  6.03  8.1   9.45 10.15 10.15  9.38  7.64  4.71],[3.39 5.83 7.63 8.86 9.4  9.25 8.39 6.99 4.44],[3.39 5.95 7.9  9.21 9.86 9.84 9.06 7.38 4.54],[3.4  5.83 7.65 8.89 9.49 9.39 8.48 6.93 4.4 ],[3.39 5.83 7.65 8.9  9.51 9.41 8.5  6.94 4.41],[3.39 5.84 7.67 8.92 9.52 9.42 8.56 6.99 4.41],[3.37 5.81 7.63 8.83 9.33 9.27 8.52 6.97 4.4 ],[3.25 5.63 7.43 8.58 9.12 9.08 8.39 6.92 4.44],[3.43 5.83 7.66 8.94 9.64 9.6  8.69 6.97 4.53],[ 3.39  6.07  8.14  9.49 10.21 10.19  9.41  7.65  4.7 ],[3.38 5.8  7.57 8.77 9.24 9.09 8.3  6.86 4.35],[3.29 5.63 7.37 8.48 8.99 8.92 8.24 6.73 4.27],[3.37 5.79 7.6  8.8  9.3  9.14 8.33 6.86 4.35],[3.29 5.63 7.4  8.5  9.02 9.   8.29 6.77 4.32],[3.34 5.75 7.55 8.75 9.21 9.11 8.31 6.87 4.37],[3.28 5.64 7.35 8.48 9.   8.94 8.29 6.84 4.46]
3,Z4,0.5,[ 4.61  7.25  9.07 10.32 11.08 11.24 10.75  9.48  7.31],[ 5.01  7.28  8.73  9.72 10.28 10.35  9.81  8.67  6.86],[ 6.51  9.71 11.19 12.04 12.11 11.7  10.72  9.06  6.55],[4.44 6.46 7.55 8.17 8.04 7.66 6.76 5.54 3.57],[4.14 6.45 7.54 8.32 8.45 8.19 7.22 5.81 3.67],[ 5.33  7.75  9.5  10.66 11.43 11.74 11.56 10.77  8.96],[ 5.08  7.85  9.68 10.89 11.54 11.65 11.42 10.57  8.8 ],[ 4.24  6.9   8.84 10.27 11.18 11.46 11.23 10.26  8.24],[ 7.27 10.48 11.73 12.35 12.29 11.45 10.02  8.01  5.08],[2.92 5.06 6.68 7.78 8.33 8.14 7.33 5.89 3.76],[2.87 4.89 6.33 7.3  7.68 7.55 6.89 5.74 3.72],[2.8  4.54 5.71 6.51 6.93 6.94 6.41 5.35 3.48],[2.76 4.51 5.69 6.5  6.92 6.98 6.52 5.47 3.55],[2.79 4.56 5.69 6.43 6.82 6.87 6.4  5.38 3.51],[2.78 4.54 5.67 6.44 6.84 6.89 6.43 5.39 3.52],[2.78 4.52 5.66 6.44 6.85 6.9  6.44 5.41 3.52],[2.69 4.31 5.37 6.11 6.53 6.57 6.2  5.25 3.45],[2.65 4.21 5.31 6.1  6.51 6.54 6.15 5.19 3.39],[2.72 4.45 5.65 6.41 6.78 6.62 6.12 5.14 3.38],[2.65 4.29 5.54 6.36 6.76 6.67 6.09 4.96 3.24],[2.73 4.41 5.5  6.2  6.65 6.73 6.36 5.37 3.54],[2.72 4.45 5.49 6.2  6.6  6.52 5.99 5.04 3.32],[2.72 4.4  5.46 6.15 6.56 6.64 6.29 5.32 3.52],[2.63 4.18 5.3  6.1  6.5  6.48 6.04 5.14 3.37],[2.7  4.38 5.46 6.17 6.55 6.59 6.22 5.29 3.49],[2.67 4.23 5.4  6.19 6.6  6.52 6.06 5.1  3.37]
4,Z5,0.5,[ 4.67  7.67  9.94 11.57 12.72 13.25 13.04 12.03  9.82],[ 4.57  7.12  9.02 10.38 11.35 11.84 11.66 10.73  9.04],[ 5.83  9.03 10.81 12.01 12.5  12.46 11.94 10.56  8.26],[3.06 5.03 6.34 7.13 7.53 7.53 7.11 5.91 4.34],[3.16 5.1  6.15 6.88 7.17 6.99 6.27 5.19 3.43],[ 5.06  7.87 10.05 11.7  13.   13.82 14.13 13.67 12.02],[ 5.02  8.1  10.31 11.97 13.1  13.7  13.96 13.45 11.85],[ 4.51  7.56  9.93 11.73 13.08 13.76 13.92 13.16 11.22],[ 6.01  9.   10.54 11.31 11.53 10.94  9.86  8.1   5.31],[3.49 6.01 7.89 9.14 9.64 9.26 8.07 6.08 3.56],[3.4  5.73 7.26 8.08 8.16 7.69 6.73 5.32 3.35],[2.87 4.5  5.59 6.22 6.46 6.3  5.78 4.79 3.15],[2.96 4.57 5.62 6.23 6.47 6.29 5.76 4.78 3.12],[2.95 4.58 5.64 6.25 6.47 6.29 5.75 4.78 3.13],[2.95 4.57 5.64 6.25 6.47 6.29 5.75 4.78 3.12],[2.93 4.56 5.63 6.24 6.47 6.29 5.76 4.78 3.13],[2.87 4.49 5.54 6.22 6.45 6.3  5.76 4.78 3.16],[2.87 4.44 5.52 6.17 6.43 6.28 5.75 4.78 3.16],[2.94 4.67 5.77 6.42 6.62 6.38 5.76 4.74 3.12],[2.97 4.64 5.66 6.3  6.54 6.33 5.77 4.77 3.14],[2.95 4.62 5.69 6.3  6.51 6.29 5.74 4.78 3.14],[2.87 4.48 5.67 6.38 6.67 6.55 6.01 4.91 3.27],[2.96 4.65 5.69 6.29 6.49 6.31 5.77 4.81 3.19],[2.89 4.49 5.66 6.37 6.69 6.6  6.08 5.01 3.31],[2.93 4.6  5.63 6.25 6.46 6.29 5.76 4.79 3.16],[2.87 4.48 5.56 6.21 6.45 6.3  5.78 4.81 3.17]
5,Z6,0.5,[ 4.59  7.55  9.79 11.37 12.46 12.94 12.7  11.69  9.42],[ 4.69  7.27  9.16 10.53 11.48 11.96 11.75 10.81  9.13],[ 5.75  8.85 10.58 11.75 12.22 12.12 11.57 10.18  7.89],[3.33 5.41 6.73 7.58 7.97 7.97 7.52 6.27 4.53],[3.52 5.29 6.41 7.04 7.17 6.96 6.41 5.31 3.55],[ 4.95  7.74  9.87 11.51 12.77 13.57 13.84 13.35 11.64],[ 4.9   7.93 10.13 11.77 12.87 13.42 13.67 13.14 11.55],[ 4.43  7.44  9.77 11.57 12.85 13.53 13.63 12.87 10.94],[ 5.88  8.86 10.43 11.23 11.46 10.84  9.79  8.04  5.3 ],[3.53 6.06 7.95 9.12 9.56 9.13 7.89 5.93 3.5 ],[3.46 5.83 7.39 8.21 8.24 7.74 6.69 5.31 3.32],[3.16 5.   6.13 6.78 7.01 6.79 6.21 5.12 3.32],[3.23 5.1  6.23 6.82 6.99 6.74 6.07 4.93 3.17],[3.1  4.96 6.1  6.75 6.97 6.78 6.18 5.06 3.25],[3.1  4.96 6.1  6.75 6.97 6.78 6.18 5.06 3.25],[3.1  4.95 6.1  6.75 6.97 6.78 6.18 5.06 3.25],[3.14 4.95 6.08 6.73 6.96 6.74 6.1  5.03 3.24],[3.1  4.88 5.99 6.6  6.83 6.63 6.03 4.95 3.24],[3.19 5.11 6.27 6.86 7.06 6.84 6.14 4.99 3.17],[3.23 5.12 6.29 6.9  7.06 6.83 6.12 4.95 3.18],[3.28 5.26 6.42 6.95 7.06 6.8  6.12 5.02 3.27],[3.2  4.97 6.08 6.65 6.89 6.68 6.12 5.05 3.37],[3.11 4.98 6.08 6.73 6.95 6.73 6.09 5.   3.22],[3.4  5.62 6.96 7.53 7.56 7.13 6.32 5.13 3.3 ],[3.24 5.17 6.33 6.89 7.06 6.78 6.11 4.96 3.21],[3.17 4.97 6.03 6.62 6.84 6.62 6.04 4.97 3.27]
6,Z7,0.5,[2.88 4.68 5.95 6.71 7.18 7.22 6.67 5.6  3.79],[ 6.61  9.12 10.43 11.35 11.67 11.54 10.93  9.62  7.46],[ 6.7   9.39 10.54 11.13 11.01 10.44  9.21  7.36  4.78],[ 5.84  9.11 10.7  11.75 12.07 11.75 10.92  9.23  6.67],[ 8.56 11.24 12.7  13.48 13.2  12.45 11.12  9.14  6.15],[ 8.17 11.64 12.94 13.58 13.44 12.71 11.28  9.12  5.97],[2.56 4.04 4.86 5.33 5.4  5.11 4.68 3.99 2.83],[3.1  5.03 6.41 7.3  7.85 7.89 7.4  6.46 4.73],[ 9.89 13.64 14.9  15.66 15.47 14.42 12.64 10.07  6.42],[2.55 4.54 6.14 7.39 8.24 8.43 7.89 6.51 4.1 ],[2.54 4.17 5.27 5.95 6.31 6.46 6.3  5.51 3.69],[2.46 3.84 4.6  5.05 5.15 4.97 4.55 3.81 2.58],[2.5  3.88 4.61 4.99 5.14 4.98 4.63 3.97 2.82],[2.47 3.83 4.59 5.02 5.14 4.97 4.55 3.83 2.61],[2.47 3.83 4.59 5.02 5.14 4.97 4.54 3.83 2.62],[2.46 3.81 4.58 5.01 5.13 4.96 4.54 3.82 2.61],[2.44 3.82 4.58 4.99 5.12 4.97 4.61 3.89 2.65],[2.46 3.86 4.59 5.01 5.14 5.   4.57 3.84 2.62],[2.48 3.9  4.63 5.06 5.17 5.01 4.6  3.87 2.64],[2.47 3.88 4.61 5.06 5.19 5.01 4.58 3.87 2.63],[2.46 3.85 4.6  5.02 5.15 5.01 4.64 3.96 2.8 ],[2.45 3.84 4.58 5.02 5.15 4.98 4.57 3.82 2.59],[2.47 3.86 4.6  4.99 5.16 5.01 4.65 3.98 2.81],[2.5  3.88 4.71 5.18 5.26 5.05 4.62 3.89 2.67],[2.46 3.84 4.58 4.99 5.15 5.02 4.65 3.99 2.82],[2.43 3.83 4.58 5.   5.15 4.97 4.57 3.82 2.57]
7,Z8,0.5,[3.54 5.52 6.86 7.65 8.04 8.   7.32 6.12 4.16],[ 7.14  9.71 11.03 11.94 12.24 12.09 11.44 10.07  7.84],[ 7.22 10.04 11.18 11.75 11.57 10.97  9.71  7.79  5.12],[ 6.64 10.03 11.56 12.54 12.8  12.44 11.58  9.8   7.16],[ 9.33 12.03 13.47 14.22 13.89 13.1  11.71  9.65  6.57],[ 9.02 12.47 13.68 14.28 14.11 13.33 11.81  9.57  6.27],[3.18 4.58 5.49 6.06 6.21 6.13 5.54 4.71 3.29],[3.48 5.68 7.18 8.14 8.66 8.65 8.12 7.08 5.15],[10.45 14.22 15.51 16.23 15.97 14.88 13.06 10.46  6.67],[3.07 5.26 6.97 8.27 9.13 9.21 8.51 6.96 4.33],[2.99 4.92 6.22 7.03 7.45 7.52 7.15 6.08 3.96],[3.03 4.46 5.37 5.92 6.13 5.96 5.43 4.47 3.03],[2.94 4.5  5.43 5.93 6.11 5.91 5.39 4.47 2.97],[2.97 4.47 5.39 5.92 6.12 5.93 5.4  4.44 2.94],[2.96 4.47 5.39 5.92 6.11 5.92 5.39 4.44 2.94],[2.95 4.46 5.39 5.91 6.11 5.91 5.39 4.43 2.93],[2.98 4.48 5.4  5.9  6.09 5.93 5.45 4.56 3.13],[2.98 4.5  5.43 5.92 6.08 5.9  5.39 4.48 2.93],[3.02 4.49 5.4  5.93 6.1  5.94 5.42 4.48 3.  ],[3.05 4.47 5.36 5.93 6.13 6.   5.46 4.51 3.14],[2.99 4.47 5.4  5.9  6.08 5.91 5.41 4.49 3.04],[3.01 4.46 5.37 5.89 6.11 5.95 5.43 4.46 3.04],[3.   4.48 5.39 5.9  6.08 5.91 5.42 4.49 3.05],[3.   4.46 5.38 5.9  6.09 5.91 5.38 4.44 2.95],[3.   4.48 5.42 5.92 6.07 5.88 5.37 4.43 2.94],[2.99 4.46 5.39 5.89 6.08 5.91 5.38 4.44 2.94]
8,Z9,0.5,[2.93 4.63 5.74 6.32 6.86 6.9  6.36 5.27 3.62],[ 6.51  8.91 10.08 10.95 11.2  10.96 10.34  9.    6.78],[5.28 7.65 8.63 9.2  9.13 8.66 7.55 6.02 3.81],[ 5.9   9.16 10.63 11.63 11.91 11.54 10.67  8.98  6.4 ],[ 8.7  11.41 12.82 13.6  13.27 12.46 11.12  9.08  6.06],[ 8.44 11.86 13.15 13.72 13.52 12.76 11.23  9.1   6.  ],[3.79 5.51 6.7  7.37 7.67 7.64 7.13 6.25 4.54],[3.66 5.71 6.89 7.59 7.78 7.56 7.06 6.08 4.44],[ 9.61 13.26 14.52 15.27 15.03 14.02 12.28  9.75  6.15],[2.71 4.65 6.09 7.23 8.08 8.27 7.73 6.36 4.02],[2.65 4.45 5.7  6.47 6.89 7.04 6.75 5.76 3.77],[2.62 4.15 5.16 5.78 6.09 6.07 5.65 4.83 3.15],[2.61 4.16 5.21 5.85 6.17 6.12 5.68 4.77 3.2 ],[2.6  4.15 5.2  5.85 6.15 6.08 5.64 4.72 3.13],[2.6  4.15 5.2  5.85 6.15 6.08 5.65 4.73 3.13],[2.6  4.16 5.2  5.84 6.15 6.08 5.65 4.74 3.15],[2.6  4.15 5.17 5.8  6.1  6.03 5.6  4.71 3.13],[2.59 4.12 5.12 5.74 6.11 6.15 5.84 4.95 3.2 ],[2.66 4.25 5.32 6.   6.25 6.15 5.62 4.59 2.97],[2.69 4.25 5.29 5.98 6.26 6.16 5.64 4.62 2.98],[2.61 4.15 5.18 5.81 6.1  6.04 5.59 4.72 3.13],[2.64 4.14 5.14 5.74 6.02 5.96 5.58 4.68 3.06],[2.63 4.18 5.21 5.86 6.14 6.06 5.6  4.69 3.12],[2.6  4.11 5.11 5.72 6.06 6.03 5.63 4.73 3.1 ],[2.62 4.19 5.19 5.81 6.07 5.98 5.49 4.56 3.02],[2.63 4.19 5.17 5.75 5.97 5.88 5.48 4.56 3.02]
9,Z10,0.5,[ 5.47  8.82 11.37 13.29 14.76 15.54 15.45 14.49 12.21],[ 4.2   6.74  8.68 10.15 11.24 11.85 11.8  11.04  9.37],[ 5.44  8.68 10.58 11.82 12.48 12.55 12.14 10.86  8.64],[ 4.43  7.38  9.35 10.67 11.57 11.96 11.67 10.43  8.36],[ 5.05  7.65  9.37 10.47 10.9  10.74 10.22  8.89  6.51],[ 5.07  7.67  9.17 10.22 10.67 10.57  9.88  8.45  6.17],[ 5.71  8.77 11.25 13.14 14.66 15.72 16.29 15.94 14.28],[ 5.66  9.08 11.67 13.58 14.96 15.77 16.2  15.82 14.2 ],[ 4.91  8.29 11.02 13.1  14.74 15.57 15.87 15.09 13.06],[ 3.9   6.88  9.23 10.87 11.68 11.47 10.41  8.42  5.3 ],[ 3.86  6.75  8.94 10.33 10.84 10.68  9.78  7.99  5.08],[3.75 6.23 7.98 9.03 9.55 9.46 8.59 7.11 4.78],[3.74 6.3  8.11 9.23 9.76 9.68 8.84 7.28 4.9 ],[3.78 6.27 8.06 9.14 9.62 9.53 8.67 7.22 4.95],[3.76 6.26 8.03 9.1  9.62 9.52 8.66 7.19 4.89],[3.75 6.25 8.02 9.1  9.61 9.5  8.65 7.15 4.84],[3.69 6.15 7.84 8.83 9.32 9.18 8.43 7.   4.65],[3.69 6.11 7.79 8.8  9.23 9.1  8.3  6.92 4.62],[3.75 6.26 7.95 9.03 9.52 9.38 8.71 7.3  5.01],[3.81 6.27 8.02 9.1  9.58 9.37 8.64 7.21 4.96],[3.7  6.15 7.85 8.84 9.26 9.12 8.36 6.97 4.65],[3.7  6.12 7.8  8.84 9.23 9.02 8.21 6.79 4.57],[3.71 6.18 7.88 8.87 9.31 9.16 8.41 7.01 4.71],[3.65 5.91 7.45 8.37 8.78 8.58 7.89 6.64 4.51],[3.68 6.12 7.78 8.8  9.24 9.12 8.36 6.97 4.65],[3.63 5.95 7.59 8.65 9.08 8.94 8.21 6.84 4.62]
