,Target,risk_aversion,knn,cart,rf,Ave,Insample,SalvaBench,CRPS,DF_0,DF_0.1,DF_1,CRPS-LR,CRPS-MLP,SalvaBench-LR,SalvaBench-MLP,DF-LR_0,DF-MLP_0,DF-LR_0.1,DF-MLP_0.1,DF-LR_1,DF-MLP_1
0,Z1,0.5,[2.55 4.29 5.46 6.2  6.5  6.4  5.88 4.9  3.21],[2.58 4.3  5.57 6.38 6.73 6.65 6.09 5.03 3.26],[2.5  4.21 5.39 6.13 6.47 6.38 5.86 4.87 3.18],[2.49 4.18 5.36 6.14 6.45 6.37 5.83 4.83 3.15],[2.49 4.18 5.36 6.14 6.45 6.36 5.83 4.83 3.14],[2.5  4.19 5.38 6.12 6.44 6.34 5.82 4.85 3.16],[2.49 4.18 5.37 6.12 6.44 6.34 5.83 4.84 3.16],[2.49 4.18 5.36 6.13 6.44 6.35 5.82 4.83 3.15],[2.49 4.18 5.36 6.13 6.44 6.35 5.82 4.83 3.15],[2.49 4.18 5.36 6.12 6.43 6.35 5.82 4.83 3.15],[2.49 4.18 5.36 6.12 6.43 6.35 5.82 4.83 3.15],[2.49 4.18 5.36 6.12 6.43 6.35 5.82 4.84 3.15],[2.49 4.17 5.35 6.12 6.44 6.35 5.83 4.83 3.15],[2.49 4.18 5.37 6.12 6.44 6.35 5.83 4.84 3.15],[2.49 4.18 5.37 6.12 6.43 6.35 5.82 4.84 3.15],[2.49 4.18 5.37 6.12 6.43 6.35 5.82 4.83 3.15],[2.49 4.18 5.36 6.12 6.43 6.34 5.82 4.84 3.15],[2.48 4.18 5.36 6.12 6.43 6.34 5.82 4.83 3.15],[2.49 4.18 5.37 6.12 6.44 6.35 5.82 4.83 3.15],[2.49 4.18 5.37 6.12 6.43 6.34 5.82 4.83 3.15]
1,Z2,0.5,[2.57 3.89 4.82 5.42 5.7  5.67 5.24 4.38 2.91],[2.75 4.09 5.   5.63 5.91 5.83 5.37 4.48 3.02],[2.58 3.89 4.85 5.48 5.75 5.67 5.23 4.36 2.91],[2.57 3.88 4.81 5.41 5.7  5.62 5.19 4.32 2.88],[2.57 3.88 4.81 5.41 5.7  5.61 5.19 4.32 2.87],[2.55 3.86 4.8  5.41 5.69 5.62 5.19 4.34 2.89],[2.56 3.87 4.8  5.41 5.68 5.62 5.19 4.34 2.88],[2.56 3.87 4.8  5.41 5.68 5.62 5.19 4.34 2.89],[2.56 3.87 4.8  5.41 5.68 5.62 5.19 4.34 2.89],[2.56 3.87 4.8  5.41 5.68 5.62 5.19 4.34 2.88],[2.56 3.87 4.8  5.4  5.68 5.62 5.2  4.34 2.88],[2.56 3.87 4.79 5.39 5.67 5.61 5.2  4.34 2.88],[2.56 3.87 4.8  5.42 5.69 5.6  5.18 4.32 2.87],[2.57 3.88 4.83 5.45 5.72 5.67 5.22 4.36 2.9 ],[2.55 3.86 4.79 5.4  5.68 5.61 5.2  4.34 2.88],[2.56 3.87 4.8  5.41 5.67 5.61 5.18 4.33 2.88],[2.55 3.86 4.79 5.4  5.68 5.62 5.2  4.34 2.88],[2.56 3.87 4.8  5.4  5.67 5.61 5.18 4.33 2.88],[2.55 3.86 4.79 5.4  5.68 5.61 5.19 4.34 2.88],[2.55 3.86 4.79 5.39 5.67 5.6  5.19 4.34 2.88]
2,Z3,0.5,[2.6  4.12 5.18 5.79 6.02 5.87 5.34 4.34 2.76],[2.56 4.17 5.26 5.86 6.1  5.93 5.37 4.35 2.79],[2.58 4.07 5.08 5.68 5.91 5.79 5.26 4.28 2.72],[2.51 4.05 5.07 5.66 5.9  5.76 5.21 4.23 2.68],[2.51 4.04 5.06 5.66 5.9  5.76 5.21 4.23 2.68],[2.53 4.05 5.05 5.65 5.89 5.75 5.22 4.24 2.69],[2.51 4.04 5.05 5.65 5.89 5.75 5.21 4.24 2.68],[2.52 4.04 5.05 5.65 5.89 5.75 5.21 4.23 2.68],[2.52 4.04 5.05 5.65 5.89 5.75 5.21 4.23 2.68],[2.52 4.04 5.05 5.65 5.89 5.75 5.21 4.24 2.68],[2.52 4.05 5.06 5.66 5.9  5.76 5.22 4.24 2.69],[2.53 4.05 5.06 5.67 5.91 5.76 5.23 4.24 2.69],[2.55 4.07 5.08 5.69 5.92 5.79 5.24 4.26 2.7 ],[2.57 4.09 5.1  5.72 5.94 5.79 5.25 4.26 2.72],[2.52 4.04 5.06 5.66 5.9  5.76 5.21 4.24 2.69],[2.52 4.05 5.05 5.66 5.9  5.76 5.22 4.25 2.69],[2.52 4.05 5.06 5.66 5.9  5.76 5.21 4.24 2.68],[2.52 4.05 5.06 5.66 5.9  5.76 5.22 4.24 2.69],[2.53 4.06 5.06 5.67 5.9  5.76 5.22 4.24 2.68],[2.52 4.05 5.05 5.66 5.9  5.76 5.22 4.24 2.69]
3,Z4,0.5,[2.47 3.99 5.02 5.68 5.98 5.93 5.49 4.59 3.09],[2.53 4.17 5.31 6.07 6.34 6.25 5.74 4.76 3.16],[2.47 4.01 5.01 5.67 6.   5.95 5.5  4.59 3.08],[2.46 3.98 5.03 5.66 6.   5.96 5.51 4.61 3.07],[2.46 3.98 5.02 5.66 6.   5.96 5.5  4.6  3.07],[2.46 3.97 4.99 5.63 5.97 5.92 5.48 4.58 3.08],[2.46 3.97 4.99 5.63 5.97 5.92 5.47 4.58 3.08],[2.46 3.97 4.99 5.63 5.97 5.93 5.48 4.58 3.08],[2.46 3.97 4.99 5.63 5.96 5.92 5.47 4.58 3.08],[2.46 3.97 4.98 5.63 5.96 5.92 5.47 4.58 3.08],[2.46 3.97 5.01 5.65 5.99 5.94 5.49 4.6  3.07],[2.46 3.98 5.01 5.65 5.98 5.94 5.49 4.6  3.07],[2.46 3.98 5.01 5.65 5.98 5.94 5.49 4.6  3.07],[2.46 3.97 5.   5.64 5.97 5.94 5.48 4.59 3.07],[2.47 3.97 5.   5.64 5.98 5.94 5.49 4.6  3.08],[2.46 3.97 5.01 5.65 5.98 5.94 5.49 4.6  3.07],[2.46 3.98 5.02 5.66 5.99 5.95 5.5  4.6  3.07],[2.46 3.98 5.02 5.65 5.99 5.95 5.5  4.6  3.07],[2.46 3.97 5.01 5.65 5.98 5.94 5.49 4.6  3.08],[2.46 3.98 5.01 5.65 5.98 5.94 5.49 4.6  3.07]
4,Z5,0.5,[2.79 4.41 5.38 5.98 6.2  6.07 5.56 4.59 2.97],[2.89 4.54 5.6  6.26 6.45 6.33 5.77 4.75 3.1 ],[2.86 4.44 5.49 6.09 6.29 6.15 5.59 4.59 3.  ],[2.78 4.4  5.42 6.02 6.25 6.1  5.58 4.6  2.99],[2.78 4.4  5.42 6.02 6.24 6.1  5.58 4.6  2.99],[2.78 4.39 5.39 5.97 6.2  6.07 5.55 4.58 2.96],[2.77 4.4  5.38 5.98 6.2  6.07 5.56 4.58 2.97],[2.78 4.39 5.4  5.97 6.21 6.07 5.55 4.58 2.97],[2.78 4.39 5.4  5.97 6.21 6.08 5.55 4.58 2.97],[2.78 4.39 5.4  5.98 6.21 6.08 5.56 4.58 2.97],[2.79 4.4  5.39 5.99 6.22 6.08 5.56 4.59 2.98],[2.78 4.4  5.39 5.98 6.21 6.07 5.56 4.58 2.97],[2.78 4.39 5.38 5.98 6.21 6.07 5.56 4.58 2.98],[2.78 4.4  5.39 5.98 6.21 6.07 5.56 4.58 2.97],[2.78 4.39 5.4  5.98 6.21 6.07 5.55 4.58 2.97],[2.78 4.39 5.4  5.97 6.2  6.07 5.55 4.58 2.97],[2.77 4.4  5.38 5.97 6.2  6.07 5.56 4.58 2.97],[2.78 4.4  5.39 5.97 6.2  6.07 5.55 4.58 2.97],[2.78 4.39 5.39 5.98 6.21 6.07 5.56 4.58 2.97],[2.78 4.4  5.38 5.97 6.2  6.07 5.56 4.58 2.97]
5,Z6,0.5,[3.08 4.59 5.62 6.27 6.52 6.42 5.9  4.84 3.11],[3.11 4.81 5.94 6.62 6.94 6.76 6.15 5.06 3.2 ],[3.03 4.58 5.62 6.27 6.56 6.44 5.91 4.86 3.11],[3.   4.55 5.63 6.29 6.56 6.44 5.91 4.85 3.1 ],[3.   4.55 5.63 6.28 6.56 6.44 5.9  4.85 3.1 ],[3.02 4.56 5.6  6.23 6.52 6.41 5.89 4.85 3.1 ],[3.02 4.57 5.59 6.24 6.52 6.42 5.9  4.85 3.11],[3.02 4.56 5.6  6.24 6.52 6.42 5.89 4.85 3.1 ],[3.02 4.56 5.6  6.24 6.52 6.42 5.89 4.85 3.1 ],[3.02 4.56 5.6  6.24 6.52 6.41 5.89 4.85 3.1 ],[3.02 4.55 5.59 6.23 6.51 6.41 5.89 4.85 3.1 ],[3.03 4.55 5.58 6.23 6.52 6.42 5.9  4.85 3.1 ],[3.02 4.57 5.6  6.25 6.52 6.42 5.89 4.84 3.09],[3.02 4.56 5.59 6.23 6.52 6.41 5.89 4.85 3.1 ],[3.02 4.56 5.59 6.23 6.51 6.41 5.89 4.85 3.1 ],[3.02 4.56 5.59 6.23 6.52 6.41 5.89 4.85 3.1 ],[3.02 4.55 5.59 6.23 6.51 6.41 5.89 4.85 3.1 ],[3.02 4.56 5.59 6.23 6.52 6.41 5.89 4.85 3.1 ],[3.02 4.55 5.59 6.23 6.51 6.41 5.89 4.85 3.1 ],[3.02 4.55 5.59 6.24 6.51 6.42 5.9  4.84 3.09]
6,Z7,0.5,[2.06 3.31 4.12 4.62 4.82 4.74 4.36 3.62 2.41],[2.12 3.44 4.32 4.9  5.12 5.04 4.66 3.86 2.58],[2.07 3.29 4.11 4.62 4.84 4.75 4.37 3.62 2.43],[2.05 3.28 4.09 4.63 4.85 4.76 4.39 3.63 2.42],[2.05 3.28 4.09 4.63 4.85 4.75 4.38 3.63 2.42],[2.05 3.27 4.09 4.6  4.8  4.71 4.33 3.59 2.4 ],[2.05 3.27 4.09 4.6  4.8  4.7  4.33 3.58 2.39],[2.05 3.27 4.09 4.6  4.8  4.7  4.33 3.58 2.39],[2.05 3.27 4.09 4.59 4.8  4.7  4.33 3.58 2.39],[2.05 3.27 4.09 4.59 4.8  4.7  4.33 3.58 2.39],[2.04 3.27 4.09 4.59 4.8  4.71 4.34 3.59 2.39],[2.05 3.27 4.09 4.6  4.8  4.71 4.33 3.59 2.4 ],[2.07 3.28 4.09 4.61 4.82 4.72 4.34 3.6  2.41],[2.06 3.27 4.08 4.6  4.81 4.72 4.34 3.6  2.41],[2.06 3.28 4.09 4.6  4.8  4.71 4.33 3.59 2.4 ],[2.06 3.28 4.09 4.6  4.8  4.71 4.33 3.58 2.39],[2.06 3.28 4.08 4.59 4.8  4.71 4.33 3.58 2.39],[2.06 3.28 4.1  4.6  4.8  4.71 4.32 3.58 2.39],[2.05 3.27 4.08 4.59 4.79 4.71 4.33 3.59 2.39],[2.04 3.26 4.08 4.58 4.78 4.69 4.31 3.57 2.39]
7,Z8,0.5,[2.8  4.3  5.11 5.56 5.67 5.46 4.93 4.06 2.71],[2.96 4.42 5.39 5.89 6.04 5.74 5.2  4.26 2.84],[2.8  4.35 5.2  5.61 5.68 5.45 4.94 4.04 2.67],[2.8  4.3  5.13 5.58 5.67 5.47 4.94 4.04 2.68],[2.8  4.3  5.13 5.58 5.67 5.46 4.94 4.04 2.68],[2.79 4.3  5.12 5.54 5.64 5.42 4.9  4.01 2.67],[2.79 4.29 5.1  5.53 5.62 5.4  4.87 4.   2.63],[2.79 4.3  5.12 5.54 5.64 5.42 4.9  4.01 2.67],[2.79 4.29 5.11 5.53 5.64 5.42 4.89 4.02 2.67],[2.79 4.3  5.12 5.54 5.64 5.42 4.9  4.01 2.67],[2.79 4.3  5.11 5.54 5.63 5.42 4.9  4.02 2.67],[2.81 4.31 5.13 5.55 5.64 5.42 4.9  4.02 2.67],[2.81 4.31 5.13 5.55 5.64 5.42 4.9  4.02 2.67],[2.81 4.31 5.13 5.56 5.64 5.42 4.9  4.01 2.67],[2.81 4.32 5.14 5.56 5.64 5.43 4.91 4.02 2.67],[2.81 4.31 5.12 5.56 5.64 5.43 4.9  4.02 2.68],[2.81 4.31 5.12 5.56 5.64 5.43 4.91 4.02 2.68],[2.8  4.3  5.12 5.55 5.63 5.42 4.9  4.02 2.67],[2.8  4.3  5.11 5.55 5.63 5.42 4.9  4.02 2.68],[2.8  4.31 5.12 5.55 5.63 5.42 4.9  4.02 2.67]
8,Z9,0.5,[2.55 4.08 5.03 5.53 5.66 5.46 4.94 3.99 2.58],[2.66 4.22 5.18 5.71 5.87 5.66 5.2  4.24 2.78],[2.61 4.09 5.04 5.58 5.76 5.58 5.03 4.07 2.6 ],[2.58 4.08 5.03 5.5  5.66 5.48 4.96 4.02 2.59],[2.57 4.08 5.03 5.5  5.66 5.48 4.95 4.02 2.58],[2.56 4.07 5.01 5.5  5.64 5.45 4.92 3.99 2.57],[2.56 4.06 5.   5.48 5.63 5.44 4.92 3.99 2.58],[2.57 4.06 5.01 5.49 5.64 5.45 4.92 3.99 2.57],[2.57 4.06 5.01 5.49 5.64 5.45 4.92 3.99 2.57],[2.56 4.07 5.01 5.5  5.63 5.44 4.92 3.98 2.57],[2.56 4.06 5.01 5.5  5.64 5.45 4.93 3.99 2.57],[2.56 4.06 5.01 5.5  5.64 5.44 4.93 3.98 2.57],[2.56 4.06 5.   5.48 5.64 5.46 4.96 4.01 2.58],[2.56 4.06 4.99 5.49 5.65 5.48 4.97 4.03 2.6 ],[2.56 4.06 5.01 5.49 5.63 5.44 4.92 3.99 2.58],[2.56 4.07 5.01 5.5  5.64 5.44 4.93 3.99 2.57],[2.56 4.07 5.01 5.5  5.63 5.44 4.92 3.99 2.57],[2.56 4.06 5.   5.5  5.64 5.45 4.92 3.99 2.57],[2.56 4.06 5.   5.49 5.64 5.44 4.92 3.99 2.57],[2.56 4.06 5.   5.49 5.63 5.44 4.92 3.98 2.57]
9,Z10,0.5,[3.4  5.27 6.49 7.2  7.42 7.2  6.51 5.25 3.3 ],[3.48 5.38 6.67 7.47 7.76 7.58 6.8  5.42 3.35],[3.37 5.26 6.5  7.21 7.44 7.22 6.52 5.27 3.33],[3.34 5.2  6.43 7.18 7.44 7.22 6.51 5.25 3.3 ],[3.34 5.2  6.43 7.18 7.44 7.22 6.51 5.25 3.3 ],[3.36 5.23 6.46 7.17 7.4  7.18 6.49 5.24 3.32],[3.35 5.21 6.44 7.17 7.39 7.19 6.49 5.24 3.32],[3.35 5.21 6.45 7.17 7.4  7.19 6.49 5.25 3.31],[3.35 5.21 6.45 7.17 7.4  7.19 6.49 5.24 3.31],[3.35 5.21 6.44 7.17 7.39 7.19 6.49 5.24 3.31],[3.36 5.21 6.44 7.15 7.39 7.18 6.49 5.24 3.31],[3.37 5.22 6.46 7.17 7.4  7.19 6.49 5.26 3.31],[3.37 5.24 6.46 7.18 7.4  7.18 6.5  5.26 3.32],[3.37 5.25 6.48 7.19 7.41 7.19 6.5  5.26 3.32],[3.36 5.22 6.44 7.16 7.39 7.18 6.49 5.25 3.31],[3.37 5.24 6.47 7.19 7.41 7.19 6.5  5.26 3.32],[3.36 5.22 6.45 7.17 7.39 7.18 6.49 5.25 3.32],[3.37 5.24 6.47 7.19 7.41 7.18 6.49 5.25 3.32],[3.36 5.21 6.44 7.16 7.39 7.18 6.48 5.24 3.31],[3.37 5.23 6.46 7.17 7.39 7.18 6.49 5.25 3.32]
