,Quantile,risk_aversion,Target,Model-0,Model-1,Model-2,Model-3,Model-4,Model-5,Model-6,Model-7,Model-8,Ave,Insample,SalvaBench,CRPS,DF_0,DF_0.1,DF_1,CRPS-LR,CRPS-MLP,SalvaBench-LR,SalvaBench-MLP,DF-LR_0,DF-MLP_0,DF-LR_0.1,DF-MLP_0.1,DF-LR_1,DF-MLP_1
0,0.8,0.5,Z1,9.850365784,8.46037102,9.939133776,11.13933919,11.45555922,3.905564302,3.976593278,5.732584321,13.73915864,6.221085912,4.779048434,3.703016547,3.810756601,3.71245126,3.713479202,3.720500308,3.728383418,3.697092256,3.764162333,3.816845904,3.716915644,3.710445042,3.708488546,3.788910546,3.73979677,3.709552638
1,0.8,0.5,Z2,10.00516253,9.513299731,8.895904126,9.728165016,10.03585324,9.845350362,10.10057415,9.967873161,9.248375178,6.889283095,6.870753224,6.492185858,6.571908541,6.581972056,6.557370002,6.544752946,6.093514912,6.021788466,6.226433982,6.308160288,6.206179823,5.831884576,6.155929388,6.10808204,6.332413853,6.146928428
2,0.8,0.5,Z3,8.725243035,11.08339392,11.78320676,11.49085756,11.99757664,10.53755164,10.69952671,9.019391103,10.89848785,7.768062497,7.672454298,6.677767965,7.025602962,6.815327687,6.659305286,6.363265249,7.882746997,6.75807031,6.625517201,6.831644592,6.863103682,6.623934863,6.349754798,6.641252302,6.544336519,6.400472721
3,0.8,0.5,Z4,9.682686735,8.611921071,10.0661354,5.820363709,6.244094585,10.27287429,10.39203465,10.21346208,10.24080513,6.160719977,5.666378158,5.018718635,5.091965804,5.145781942,4.697054858,4.619923348,4.618900609,4.730995209,4.740530815,5.134197511,5.162253056,4.722449157,4.663488131,4.705549636,4.613772828,4.622811468
4,0.8,0.5,Z5,11.97467472,10.25984501,10.99027946,5.649134285,5.014032256,12.69159204,12.83479889,12.93671809,9.395518015,7.092682688,5.821153007,4.402105387,4.441188198,4.444886285,4.383799069,4.460362936,4.558284755,4.495889201,4.465120269,4.44420067,4.429786583,4.480236887,4.403376129,4.441649389,4.423737303,4.371070719
5,0.8,0.5,Z6,11.54574765,10.38849719,10.55442685,6.116071157,5.112943193,12.37170195,12.49458466,12.58850093,9.289515259,6.958167601,5.84623711,4.911998992,4.876782075,4.922768781,4.786755684,4.854359572,4.878562767,4.931695571,4.836085031,4.921719274,4.901789634,4.93652253,4.885112337,5.124717708,5.263401184,4.883361064
6,0.8,0.5,Z7,5.000143943,9.898214382,8.329890317,10.16349308,11.03520308,11.30333985,3.397313094,5.683655428,13.46199351,6.140610956,4.632217252,3.221355352,3.235300186,3.223157307,3.236232387,3.23521176,3.270421162,3.269018674,3.280155424,3.221139397,3.228196438,3.29421837,3.225262661,3.280244316,3.236729555,3.233957762
7,0.8,0.5,Z8,5.96982508,10.6086476,9.075442907,11.22574236,12.02401193,12.22809359,4.293251446,6.598912771,14.14771729,7.090396969,5.769137624,4.166363915,4.418380853,4.180827005,4.203672769,4.158368665,4.169699481,4.207079795,4.220347401,4.173666547,4.18585595,4.162907294,4.162301735,4.206816327,4.221235385,4.147096773
8,0.8,0.5,Z9,4.760205499,9.291691474,6.46658477,9.976006266,11.13769692,11.41628666,5.61990769,5.663175831,12.91562921,6.038167983,5.099553591,4.099966782,4.138355686,4.164818875,4.099660093,4.004547232,4.21152902,4.250763271,4.051529428,4.166489838,4.138696462,4.092531077,4.073107824,4.087102326,4.062924503,3.982246317
9,0.8,0.5,Z10,14.72930954,10.21108987,11.03384756,10.60581608,9.207103532,8.992439621,15.1627577,15.4668013,15.11956813,9.446912526,8.742375272,7.422339564,7.848686453,7.450339603,7.235463218,7.063662469,7.39727621,7.465559475,7.090911508,7.448283873,7.449419734,7.17347047,6.946458564,7.120936624,7.096421939,6.957799197
