,Quantile,Target,Model-0,Model-1,Model-2,Model-3,Model-4,Model-5,Model-6,Model-7,Model-8,Ave,Insample,SalvaBench,CRPS,DF_0.1,DF_1,DF_10
0,0.1,Z1,6.5600000000000005,6.660000000000001,5.63,8.63,8.24,2.6,2.75,3.12,9.91,2.52,2.48,2.34,2.3800000000000003,2.53,2.47,2.3800000000000003
1,0.2,Z1,9.02,9.14,8.52,11.17,11.28,3.93,4.2700000000000005,5.01,13.239999999999998,4.37,4.109999999999999,3.76,3.76,4.2,3.77,3.75
2,0.3,Z1,10.42,10.57,10.43,12.8,12.83,4.91,5.26,6.43,14.98,5.92,5.2,4.73,4.69,4.92,4.760000000000001,4.7
3,0.4,Z1,11.21,11.01,11.31,13.3,13.320000000000002,5.56,5.81,7.3,15.54,7.22,5.970000000000001,5.34,5.29,6.52,5.34,5.29
4,0.5,Z1,11.5,10.93,11.59,13.01,13.27,5.81,5.970000000000001,7.77,15.13,8.1,6.52,5.58,5.53,5.62,5.56,5.54
5,0.6,Z1,11.39,10.37,11.31,12.25,12.55,5.75,5.71,7.77,14.32,8.3,6.8500000000000005,5.47,5.46,5.84,5.47,5.46
6,0.7,Z1,10.72,9.1,10.52,10.93,11.15,5.319999999999999,5.26,7.290000000000001,12.62,7.779999999999999,6.75,5.029999999999999,5.050000000000001,5.12,5.09,5.04
7,0.8,Z1,9.42,7.21,8.94,8.89,8.959999999999999,4.590000000000001,4.49,6.36,10.05,6.41,5.91,4.24,4.2700000000000005,4.61,4.279999999999999,4.24
8,0.9,Z1,7.199999999999999,4.7,6.34,6.01,5.87,3.3000000000000003,3.19,4.61,6.4,4.109999999999999,3.96,2.95,2.89,2.92,2.91,2.9000000000000004
9,0.1,Z2,5.08,5.970000000000001,4.94,7.180000000000001,7.19,5.46,5.140000000000001,4.22,6.419999999999999,3.19,3.2,3.12,3.1,3.14,3.1300000000000003,3.11
10,0.2,Z2,7.689999999999999,9.02,7.84,9.56,10.14,7.79,8.01,6.93,9.17,5.63,5.67,5.390000000000001,5.37,5.72,5.37,5.33
11,0.3,Z2,9.51,10.8,9.63,11.31,11.53,9.62,10.01,9.01,10.85,7.439999999999999,7.5,7.15,7.06,7.439999999999999,7.090000000000001,7.04
12,0.4,Z2,10.78,11.53,10.45,11.89,12.09,10.66,11.18,10.51,11.51,8.62,8.68,8.4,8.09,8.309999999999999,8.03,8.05
13,0.5,Z2,11.63,11.68,10.82,11.85,12.14,11.31,11.72,11.54,11.36,9.21,9.23,8.959999999999999,8.59,9.12,8.97,8.58
14,0.6,Z2,11.77,11.37,10.62,11.24,11.62,11.53,11.72,11.84,11.02,9.16,9.14,8.86,8.77,9.02,8.92,8.81
15,0.7,Z2,11.17,10.4,9.82,10.03,10.35,11.25,11.25,11.43,9.66,8.5,8.5,8.38,8.49,8.55,8.53,8.33
16,0.8,Z2,9.98,8.76,8.35,8.260000000000002,8.450000000000001,10.39,10.37,10.46,7.61,7.03,7.049999999999999,7.109999999999999,7.06,7.090000000000001,6.93,7.06
17,0.9,Z2,7.48,6.2,5.92,5.6000000000000005,5.510000000000001,8.38,8.42,8.129999999999999,4.8,4.44,4.44,4.45,4.44,4.41,4.41,4.45
18,0.1,Z3,3.8,5.609999999999999,5.59,7.24,7.439999999999999,4.52,4.46,3.64,6.78,3.4000000000000004,3.4000000000000004,3.4000000000000004,3.38,3.37,3.38,3.38
19,0.2,Z3,6.44,8.28,8.81,10.08,10.6,7.000000000000001,7.32,6.08,9.93,6.08,6.02,5.84,5.8500000000000005,5.91,5.84,5.8500000000000005
20,0.3,Z3,8.309999999999999,10.11,10.98,12.04,12.45,9.07,9.49,8.05,11.81,8.16,8.09,7.68,7.64,7.939999999999999,7.8,7.649999999999999
21,0.4,Z3,9.59,11.49,12.32,12.98,13.36,10.59,11.0,9.56,12.790000000000001,9.520000000000001,9.45,8.95,8.86,9.91,9.01,8.870000000000001
22,0.5,Z3,10.6,12.32,13.059999999999999,13.26,13.719999999999999,11.68,11.93,10.68,12.950000000000001,10.299999999999999,10.17,9.520000000000001,9.41,10.02,9.73,9.42
23,0.6,Z3,10.9,12.76,13.23,12.94,13.420000000000002,12.33,12.32,11.08,12.61,10.26,10.190000000000001,9.24,9.28,10.12,9.42,9.28
24,0.7,Z3,10.440000000000001,12.559999999999999,12.809999999999999,12.09,12.31,12.45,12.34,10.91,11.469999999999999,9.45,9.42,8.44,8.5,9.66,8.81,8.49
25,0.8,Z3,9.51,11.790000000000001,11.540000000000001,10.51,10.6,11.97,11.83,10.100000000000001,9.58,7.670000000000001,7.630000000000001,7.1,6.98,7.33,7.140000000000001,6.98
26,0.9,Z3,7.340000000000001,9.67,8.870000000000001,7.62,7.670000000000001,10.09,10.18,8.02,6.370000000000001,4.73,4.65,4.4799999999999995,4.41,4.68,4.79,4.41
27,0.1,Z4,4.5600000000000005,4.89,6.3100000000000005,4.29,4.03,5.27,4.95,4.2299999999999995,7.109999999999999,2.92,2.92,2.86,2.79,2.8400000000000003,2.75,2.79
