,Target,risk_aversion,CRPS-LR,CRPS-MLP,SalvaBench-LR,SalvaBench-MLP,DF-LR_1,DF-MLP_1
0,Z1,0.5,[2.35 3.75 4.66 5.25 5.52 5.49 5.09 4.33 3.  ],[2.41 3.84 4.74 5.36 5.61 5.52 5.09 4.33 2.97],[2.36 3.75 4.69 5.34 5.65 5.59 5.15 4.39 3.05],[2.37 3.8  4.76 5.43 5.7  5.63 5.21 4.38 3.09],[2.34 3.75 4.67 5.26 5.54 5.5  5.11 4.37 3.06],[2.42 3.84 4.73 5.31 5.56 5.47 5.07 4.28 2.94]
1,Z2,0.5,[3.1  5.34 7.   8.11 8.63 8.7  8.2  6.89 4.38],[3.18 5.39 6.97 7.93 8.35 8.32 7.75 6.4  4.12],[3.15 5.4  6.96 7.95 8.37 8.46 8.19 6.91 4.37],[3.24 5.44 6.96 7.87 8.35 8.34 7.75 6.43 4.14],[3.11 5.36 7.03 8.07 8.54 8.64 8.16 6.85 4.35],[3.14 5.42 7.18 8.34 8.85 8.91 8.39 6.97 4.42]
2,Z3,0.5,[3.33 5.71 7.52 8.69 9.22 9.12 8.35 6.86 4.38],[3.27 5.66 7.4  8.52 9.03 8.96 8.26 6.8  4.35],[3.29 5.76 7.64 8.93 9.59 9.53 8.74 7.17 4.53],[3.23 5.62 7.38 8.53 9.09 9.1  8.42 6.95 4.5 ],[3.37 5.8  7.6  8.81 9.32 9.2  8.45 6.96 4.41],[3.39 5.83 7.64 8.88 9.49 9.38 8.52 6.96 4.41]
3,Z4,0.5,[2.69 4.33 5.4  6.12 6.56 6.63 6.26 5.29 3.48],[2.69 4.27 5.42 6.21 6.6  6.57 6.11 5.13 3.36],[2.69 4.37 5.54 6.39 6.9  6.98 6.56 5.51 3.59],[2.9  4.56 5.76 6.49 6.85 6.76 6.23 5.18 3.38],[2.71 4.34 5.4  6.13 6.56 6.61 6.26 5.33 3.52],[2.65 4.24 5.27 6.01 6.42 6.47 6.06 5.15 3.39]
4,Z5,0.5,[2.88 4.51 5.57 6.24 6.46 6.3  5.76 4.79 3.16],[2.98 4.61 5.64 6.26 6.49 6.31 5.81 4.82 3.21],[2.86 4.46 5.61 6.33 6.62 6.51 5.96 4.9  3.27],[3.08 4.89 6.03 6.73 7.03 6.86 6.23 5.13 3.42],[2.89 4.53 5.58 6.22 6.44 6.28 5.74 4.79 3.17],[2.83 4.48 5.56 6.24 6.51 6.36 5.84 4.84 3.2 ]
5,Z6,0.5,[3.11 4.93 6.07 6.69 6.91 6.69 6.06 5.   3.24],[3.23 5.13 6.32 6.9  7.06 6.82 6.16 5.06 3.3 ],[3.24 4.98 6.17 6.81 7.01 6.78 6.21 5.11 3.37],[3.35 5.09 6.28 6.89 7.08 6.86 6.27 5.16 3.4 ],[3.23 5.16 6.33 6.86 6.99 6.7  6.04 4.92 3.19],[3.16 5.04 6.17 6.77 6.99 6.73 6.11 4.99 3.2 ]
6,Z7,0.5,[2.46 3.86 4.59 5.01 5.15 5.   4.64 3.93 2.74],[2.42 3.82 4.58 4.99 5.14 4.97 4.57 3.83 2.6 ],[2.44 3.8  4.58 4.99 5.14 5.   4.64 4.   2.78],[2.43 3.82 4.6  4.98 5.11 4.97 4.58 3.85 2.6 ],[2.46 3.84 4.59 4.98 5.13 5.02 4.68 4.04 2.85],[2.42 3.81 4.59 4.99 5.12 4.96 4.57 3.82 2.58]
7,Z8,0.5,[2.99 4.48 5.42 5.92 6.08 5.89 5.39 4.47 2.97],[2.99 4.47 5.4  5.89 6.08 5.91 5.39 4.47 2.95],[3.07 4.53 5.43 5.95 6.12 5.93 5.42 4.5  3.15],[3.01 4.48 5.42 5.93 6.11 5.94 5.43 4.5  3.  ],[2.96 4.48 5.42 5.91 6.08 5.91 5.4  4.5  3.04],[2.97 4.46 5.41 5.89 6.08 5.9  5.38 4.45 2.94]
8,Z9,0.5,[2.62 4.16 5.19 5.83 6.12 6.03 5.54 4.59 3.04],[2.61 4.14 5.16 5.79 6.1  6.08 5.71 4.87 3.17],[2.58 4.11 5.13 5.79 6.09 6.03 5.62 4.74 3.12],[2.6  4.12 5.14 5.79 6.17 6.15 5.73 4.77 3.09],[2.61 4.16 5.21 5.85 6.13 6.08 5.62 4.73 3.16],[2.61 4.14 5.14 5.76 6.05 5.98 5.55 4.62 3.06]
9,Z10,0.5,[3.69 6.1  7.76 8.79 9.24 9.13 8.36 6.97 4.65],[3.59 5.9  7.55 8.6  9.07 8.98 8.31 6.99 4.7 ],[3.77 6.18 7.84 8.99 9.59 9.54 8.93 7.56 5.2 ],[3.92 6.26 7.93 9.05 9.65 9.56 8.97 7.7  5.45],[3.69 6.15 7.84 8.83 9.33 9.18 8.45 7.05 4.7 ],[3.61 5.94 7.58 8.63 9.11 9.05 8.39 7.09 4.76]
