,Target,risk_aversion,knn,cart,cart_date,rf,Ave,Insample,SalvaBench,CRPS,DF_0,DF_0.1,DF_1,Quantile,CRPS-LR,CRPS-MLP,SalvaBench-LR,SalvaBench-MLP,DF-LR_0,DF-MLP_0,DF-LR_0.1,DF-MLP_0.1,DF-LR_1,DF-MLP_1
0,2,0.01,[1.73 2.77 3.4  3.68 3.76 3.64 3.3  2.7  1.78],[1.89 3.01 3.72 4.07 4.09 3.88 3.44 2.72 1.7 ],[2.21 2.84 3.21 3.36 3.32 3.17 2.84 2.27 1.56],[1.72 2.65 3.24 3.5  3.53 3.34 2.98 2.4  1.57],[1.66 2.48 2.92 3.15 3.24 3.14 2.85 2.34 1.56],[1.67 2.5  2.95 3.18 3.27 3.15 2.86 2.36 1.57],[1.65 2.4  2.85 3.06 3.1  3.04 2.75 2.26 1.52],[1.6  2.38 2.87 3.1  3.14 2.99 2.7  2.19 1.44],[1.62 2.39 2.85 3.08 3.13 3.01 2.73 2.23 1.48],[1.61 2.38 2.85 3.08 3.14 3.   2.73 2.22 1.47],[1.61 2.38 2.85 3.08 3.13 2.99 2.72 2.21 1.46],0.1,,,,,,,,,,
1,2,0.01,[1.73 2.77 3.4  3.68 3.76 3.64 3.3  2.7  1.78],[1.89 3.01 3.72 4.07 4.09 3.88 3.44 2.72 1.7 ],[2.21 2.84 3.21 3.36 3.32 3.17 2.84 2.27 1.56],[1.72 2.65 3.24 3.5  3.53 3.34 2.98 2.4  1.57],[1.66 2.48 2.92 3.15 3.24 3.14 2.85 2.34 1.56],[1.66 2.47 2.91 3.14 3.23 3.13 2.83 2.34 1.56],[1.6  2.38 2.86 3.08 3.12 2.98 2.69 2.21 1.46],[1.6  2.38 2.87 3.1  3.14 2.99 2.7  2.19 1.44],[1.65 2.42 2.85 3.07 3.13 3.06 2.76 2.28 1.51],[1.62 2.39 2.85 3.07 3.12 3.01 2.72 2.23 1.49],[1.63 2.39 2.84 3.06 3.11 3.02 2.73 2.24 1.49],0.2,,,,,,,,,,
2,2,0.01,[1.73 2.77 3.4  3.68 3.76 3.64 3.3  2.7  1.78],[1.89 3.01 3.72 4.07 4.09 3.88 3.44 2.72 1.7 ],[2.21 2.84 3.21 3.36 3.32 3.17 2.84 2.27 1.56],[1.72 2.65 3.24 3.5  3.53 3.34 2.98 2.4  1.57],[1.66 2.48 2.92 3.15 3.24 3.14 2.85 2.34 1.56],[1.66 2.46 2.9  3.12 3.2  3.12 2.82 2.33 1.55],[1.59 2.4  2.93 3.13 3.15 3.   2.66 2.18 1.43],[1.6  2.38 2.87 3.1  3.14 2.99 2.7  2.19 1.44],[1.64 2.42 2.85 3.06 3.1  3.04 2.74 2.27 1.53],[1.63 2.39 2.84 3.06 3.1  3.02 2.73 2.24 1.49],[1.63 2.39 2.84 3.06 3.1  3.01 2.73 2.24 1.5 ],0.3,,,,,,,,,,
3,2,0.01,[1.73 2.77 3.4  3.68 3.76 3.64 3.3  2.7  1.78],[1.89 3.01 3.72 4.07 4.09 3.88 3.44 2.72 1.7 ],[2.21 2.84 3.21 3.36 3.32 3.17 2.84 2.27 1.56],[1.72 2.65 3.24 3.5  3.53 3.34 2.98 2.4  1.57],[1.66 2.48 2.92 3.15 3.24 3.14 2.85 2.34 1.56],[1.66 2.45 2.89 3.12 3.19 3.11 2.81 2.32 1.55],[1.59 2.45 2.98 3.16 3.18 3.02 2.67 2.18 1.41],[1.6  2.38 2.87 3.1  3.14 2.99 2.7  2.19 1.44],[1.64 2.41 2.84 3.06 3.11 3.03 2.74 2.25 1.51],[1.63 2.39 2.84 3.05 3.1  3.03 2.73 2.24 1.5 ],[1.63 2.4  2.84 3.06 3.1  3.03 2.74 2.24 1.5 ],0.4,,,,,,,,,,
4,2,0.01,[1.73 2.77 3.4  3.68 3.76 3.64 3.3  2.7  1.78],[1.89 3.01 3.72 4.07 4.09 3.88 3.44 2.72 1.7 ],[2.21 2.84 3.21 3.36 3.32 3.17 2.84 2.27 1.56],[1.72 2.65 3.24 3.5  3.53 3.34 2.98 2.4  1.57],[1.66 2.48 2.92 3.15 3.24 3.14 2.85 2.34 1.56],[1.66 2.45 2.89 3.11 3.18 3.11 2.81 2.32 1.55],[1.61 2.51 3.   3.19 3.2  3.04 2.68 2.18 1.41],[1.6  2.38 2.87 3.1  3.14 2.99 2.7  2.19 1.44],[1.62 2.38 2.84 3.06 3.11 3.   2.72 2.23 1.48],[1.62 2.38 2.84 3.07 3.12 3.   2.72 2.22 1.49],[1.61 2.38 2.84 3.07 3.11 3.   2.72 2.23 1.48],0.5,,,,,,,,,,
5,2,0.01,[1.73 2.77 3.4  3.68 3.76 3.64 3.3  2.7  1.78],[1.89 3.01 3.72 4.07 4.09 3.88 3.44 2.72 1.7 ],[2.21 2.84 3.21 3.36 3.32 3.17 2.84 2.27 1.56],[1.72 2.65 3.24 3.5  3.53 3.34 2.98 2.4  1.57],[1.66 2.48 2.92 3.15 3.24 3.14 2.85 2.34 1.56],[1.66 2.45 2.89 3.11 3.18 3.11 2.81 2.32 1.55],[1.65 2.56 3.03 3.22 3.21 3.06 2.69 2.17 1.41],[1.6  2.38 2.87 3.1  3.14 2.99 2.7  2.19 1.44],[1.6  2.39 2.91 3.12 3.16 3.   2.69 2.21 1.46],[1.6  2.39 2.92 3.12 3.16 3.   2.69 2.21 1.46],[1.6  2.39 2.9  3.12 3.15 2.99 2.68 2.2  1.45],0.6,,,,,,,,,,
6,2,0.01,[1.73 2.77 3.4  3.68 3.76 3.64 3.3  2.7  1.78],[1.89 3.01 3.72 4.07 4.09 3.88 3.44 2.72 1.7 ],[2.21 2.84 3.21 3.36 3.32 3.17 2.84 2.27 1.56],[1.72 2.65 3.24 3.5  3.53 3.34 2.98 2.4  1.57],[1.66 2.48 2.92 3.15 3.24 3.14 2.85 2.34 1.56],[1.66 2.45 2.89 3.11 3.19 3.11 2.81 2.32 1.55],[1.65 2.56 3.03 3.22 3.21 3.06 2.69 2.17 1.41],[1.6  2.38 2.87 3.1  3.14 2.99 2.7  2.19 1.44],[1.62 2.48 2.98 3.18 3.19 3.03 2.67 2.18 1.42],[1.62 2.48 2.98 3.18 3.2  3.04 2.68 2.18 1.42],[1.61 2.45 2.97 3.17 3.19 3.02 2.67 2.18 1.43],0.7,,,,,,,,,,
7,2,0.01,[1.73 2.77 3.4  3.68 3.76 3.64 3.3  2.7  1.78],[1.89 3.01 3.72 4.07 4.09 3.88 3.44 2.72 1.7 ],[2.21 2.84 3.21 3.36 3.32 3.17 2.84 2.27 1.56],[1.72 2.65 3.24 3.5  3.53 3.34 2.98 2.4  1.57],[1.66 2.48 2.92 3.15 3.24 3.14 2.85 2.34 1.56],[1.66 2.45 2.89 3.11 3.19 3.11 2.82 2.32 1.55],[1.62 2.51 3.01 3.2  3.2  3.04 2.68 2.18 1.41],[1.6  2.38 2.87 3.1  3.14 2.99 2.7  2.19 1.44],[1.69 2.62 3.06 3.24 3.22 3.08 2.71 2.19 1.41],[1.69 2.62 3.06 3.24 3.22 3.08 2.71 2.18 1.4 ],[1.59 2.41 2.96 3.15 3.17 3.01 2.66 2.18 1.43],0.8,,,,,,,,,,
8,2,0.01,[1.73 2.77 3.4  3.68 3.76 3.64 3.3  2.7  1.78],[1.89 3.01 3.72 4.07 4.09 3.88 3.44 2.72 1.7 ],[2.21 2.84 3.21 3.36 3.32 3.17 2.84 2.27 1.56],[1.72 2.65 3.24 3.5  3.53 3.34 2.98 2.4  1.57],[1.66 2.48 2.92 3.15 3.24 3.14 2.85 2.34 1.56],[1.66 2.46 2.91 3.13 3.22 3.13 2.83 2.33 1.55],[1.59 2.42 2.95 3.15 3.17 3.01 2.66 2.18 1.42],[1.6  2.38 2.87 3.1  3.14 2.99 2.7  2.19 1.44],[1.66 2.59 3.04 3.22 3.21 3.07 2.7  2.17 1.4 ],[1.67 2.61 3.05 3.23 3.21 3.07 2.71 2.18 1.4 ],[1.59 2.41 2.96 3.15 3.17 3.01 2.66 2.18 1.42],0.9,,,,,,,,,,
9,2,0.2,[1.73 2.77 3.4  3.68 3.76 3.64 3.3  2.7  1.78],[1.89 3.01 3.72 4.07 4.09 3.88 3.44 2.72 1.7 ],[2.21 2.84 3.21 3.36 3.32 3.17 2.84 2.27 1.56],[1.72 2.65 3.24 3.5  3.53 3.34 2.98 2.4  1.57],[1.66 2.48 2.92 3.15 3.24 3.14 2.85 2.34 1.56],[1.66 2.48 2.91 3.15 3.24 3.13 2.84 2.34 1.56],[1.62 2.38 2.83 3.06 3.1  3.   2.72 2.23 1.49],[1.6  2.38 2.87 3.1  3.14 2.99 2.7  2.19 1.44],[1.64 2.4  2.85 3.06 3.11 3.05 2.75 2.26 1.49],[1.64 2.4  2.85 3.05 3.11 3.05 2.75 2.26 1.5 ],[1.62 2.37 2.83 3.06 3.1  3.   2.72 2.23 1.47],0.1,[1.65 2.41 2.83 3.05 3.06 2.9  2.6  2.11 1.37],[1.66 2.44 2.88 3.07 3.07 2.91 2.6  2.11 1.38],[1.67 2.52 2.99 3.2  3.21 3.04 2.7  2.18 1.44],[2.21 2.84 3.21 3.36 3.32 3.17 2.84 2.27 1.56],[1.63 2.37 2.83 3.04 3.07 2.97 2.68 2.2  1.45],[1.63 2.38 2.84 3.05 3.08 3.01 2.71 2.23 1.48],[1.63 2.37 2.83 3.04 3.08 2.95 2.66 2.2  1.44],[1.62 2.37 2.83 3.06 3.1  3.   2.72 2.23 1.47],[1.65 2.4  2.83 3.04 3.06 2.9  2.62 2.12 1.39],[1.64 2.4  2.83 3.05 3.07 2.93 2.63 2.13 1.39]
