,Target,risk_aversion,knn,cart_date,rf,Ave,Insample,SalvaBench,CRPS,DF_0,DF_0.1,DF_1,CRPS-LR,CRPS-MLP,SalvaBench-LR,SalvaBench-MLP,DF-LR_0,DF-MLP_0,DF-LR_0.1,DF-MLP_0.1,DF-LR_1,DF-MLP_1,invW-0,invW-0.1,invW-1,invW-inf
0,1,0.2,[1.43 2.29 2.85 3.2  3.38 3.34 3.09 2.61 1.75],[1.56 2.28 2.73 2.93 2.96 2.85 2.54 2.06 1.28],[1.34 2.17 2.65 2.95 3.05 2.95 2.65 2.12 1.31],[1.3  2.05 2.49 2.69 2.68 2.52 2.23 1.93 1.3 ],[1.3  2.05 2.49 2.69 2.67 2.51 2.23 1.92 1.3 ],[1.3  2.03 2.45 2.62 2.58 2.45 2.22 1.87 1.24],[1.29 2.03 2.45 2.61 2.62 2.5  2.26 1.86 1.22],[1.29 2.03 2.45 2.62 2.64 2.52 2.28 1.87 1.23],[1.28 2.03 2.45 2.62 2.63 2.51 2.28 1.87 1.23],[1.28 2.03 2.45 2.62 2.62 2.5  2.26 1.87 1.24],[1.29 2.03 2.44 2.61 2.61 2.5  2.25 1.86 1.24],[1.29 2.04 2.47 2.63 2.65 2.54 2.29 1.87 1.23],[1.3  2.06 2.5  2.7  2.67 2.49 2.26 1.94 1.32],[1.29 2.02 2.45 2.62 2.6  2.49 2.24 1.87 1.25],[1.3  2.05 2.49 2.67 2.64 2.45 2.22 1.91 1.3 ],[1.28 2.01 2.46 2.69 2.7  2.55 2.31 1.93 1.24],[1.29 2.05 2.49 2.69 2.67 2.49 2.24 1.92 1.3 ],[1.27 1.99 2.44 2.67 2.69 2.56 2.3  1.91 1.23],[1.31 2.04 2.47 2.65 2.6  2.45 2.22 1.89 1.29],[1.27 2.01 2.43 2.64 2.67 2.51 2.29 1.91 1.23],,,,
1,1,0.2,[1.43 2.29 2.85 3.2  3.38 3.34 3.09 2.61 1.75],[1.56 2.28 2.73 2.93 2.96 2.85 2.54 2.06 1.28],[1.34 2.17 2.65 2.95 3.05 2.95 2.65 2.12 1.31],[1.3  2.05 2.49 2.69 2.68 2.52 2.23 1.93 1.3 ],[1.29 2.05 2.49 2.68 2.66 2.5  2.22 1.92 1.3 ],[1.28 2.02 2.45 2.62 2.61 2.49 2.25 1.87 1.24],[1.29 2.03 2.45 2.61 2.62 2.5  2.26 1.86 1.22],[1.29 2.03 2.45 2.62 2.61 2.48 2.24 1.87 1.25],[1.29 2.02 2.45 2.62 2.6  2.47 2.24 1.88 1.25],[1.28 2.03 2.45 2.62 2.63 2.51 2.28 1.86 1.23],[1.29 2.03 2.45 2.62 2.6  2.5  2.26 1.85 1.23],[1.29 2.03 2.45 2.62 2.59 2.47 2.23 1.87 1.25],[1.31 2.03 2.47 2.64 2.59 2.43 2.2  1.86 1.26],[1.29 2.03 2.45 2.63 2.6  2.48 2.24 1.88 1.25],[1.29 2.04 2.49 2.67 2.66 2.51 2.28 1.89 1.25],[1.28 2.   2.4  2.63 2.63 2.49 2.26 1.9  1.24],[1.29 2.03 2.47 2.67 2.64 2.48 2.25 1.9  1.28],[1.27 2.   2.4  2.61 2.62 2.48 2.25 1.91 1.25],[1.28 2.04 2.46 2.63 2.63 2.52 2.27 1.87 1.24],[1.28 2.03 2.45 2.62 2.62 2.5  2.27 1.86 1.24],,,,
2,1,0.2,[1.43 2.29 2.85 3.2  3.38 3.34 3.09 2.61 1.75],[1.56 2.28 2.73 2.93 2.96 2.85 2.54 2.06 1.28],[1.34 2.17 2.65 2.95 3.05 2.95 2.65 2.12 1.31],[1.3  2.05 2.49 2.69 2.68 2.52 2.23 1.93 1.3 ],[1.29 2.05 2.49 2.68 2.66 2.49 2.22 1.92 1.3 ],[1.29 2.03 2.45 2.62 2.64 2.53 2.28 1.87 1.23],[1.29 2.03 2.45 2.61 2.62 2.5  2.26 1.86 1.22],[1.28 2.03 2.45 2.63 2.63 2.51 2.27 1.87 1.24],[1.29 2.02 2.45 2.62 2.59 2.46 2.23 1.88 1.25],[1.28 2.03 2.45 2.63 2.63 2.51 2.27 1.87 1.24],[1.29 2.03 2.46 2.62 2.61 2.5  2.26 1.86 1.23],[1.29 2.03 2.45 2.61 2.61 2.49 2.25 1.87 1.24],[1.29 2.05 2.49 2.66 2.65 2.54 2.29 1.86 1.23],[1.29 2.04 2.46 2.63 2.65 2.53 2.29 1.87 1.23],[1.31 2.04 2.49 2.67 2.63 2.45 2.2  1.89 1.27],[1.28 2.02 2.44 2.62 2.6  2.46 2.24 1.89 1.25],[1.29 2.02 2.44 2.6  2.61 2.48 2.23 1.86 1.25],[1.29 2.03 2.46 2.65 2.62 2.45 2.23 1.9  1.28],[1.29 2.02 2.45 2.62 2.61 2.49 2.25 1.87 1.24],[1.28 2.03 2.45 2.62 2.61 2.5  2.26 1.87 1.24],,,,
3,1,0.2,[1.43 2.29 2.85 3.2  3.38 3.34 3.09 2.61 1.75],[1.56 2.28 2.73 2.93 2.96 2.85 2.54 2.06 1.28],[1.34 2.17 2.65 2.95 3.05 2.95 2.65 2.12 1.31],[1.3  2.05 2.49 2.69 2.68 2.52 2.23 1.93 1.3 ],[1.3  2.05 2.49 2.68 2.65 2.49 2.22 1.92 1.29],[1.29 2.03 2.45 2.63 2.67 2.54 2.3  1.87 1.22],[1.29 2.03 2.45 2.61 2.62 2.5  2.26 1.86 1.22],[1.29 2.02 2.45 2.62 2.59 2.46 2.23 1.88 1.25],[1.29 2.02 2.45 2.62 2.59 2.46 2.23 1.87 1.25],[1.29 2.03 2.45 2.62 2.61 2.48 2.25 1.88 1.25],[1.29 2.05 2.47 2.64 2.63 2.53 2.28 1.87 1.24],[1.29 2.03 2.46 2.63 2.6  2.49 2.25 1.87 1.24],[1.29 2.05 2.47 2.64 2.67 2.55 2.3  1.88 1.26],[1.29 2.03 2.46 2.63 2.62 2.51 2.27 1.87 1.24],[1.31 2.05 2.5  2.68 2.64 2.45 2.21 1.91 1.3 ],[1.3  2.03 2.47 2.65 2.6  2.43 2.21 1.89 1.27],[1.3  2.02 2.45 2.62 2.57 2.43 2.21 1.88 1.25],[1.29 2.03 2.46 2.64 2.61 2.47 2.25 1.89 1.27],[1.3  2.03 2.46 2.63 2.58 2.44 2.21 1.87 1.25],[1.29 2.01 2.44 2.6  2.58 2.45 2.22 1.88 1.25],,,,
4,1,0.2,[1.43 2.29 2.85 3.2  3.38 3.34 3.09 2.61 1.75],[1.56 2.28 2.73 2.93 2.96 2.85 2.54 2.06 1.28],[1.34 2.17 2.65 2.95 3.05 2.95 2.65 2.12 1.31],[1.3  2.05 2.49 2.69 2.68 2.52 2.23 1.93 1.3 ],[1.3  2.05 2.49 2.68 2.65 2.48 2.21 1.92 1.29],[1.29 2.04 2.46 2.64 2.68 2.56 2.31 1.87 1.21],[1.29 2.03 2.45 2.61 2.62 2.5  2.26 1.86 1.22],[1.3  2.02 2.45 2.62 2.59 2.45 2.23 1.87 1.24],[1.3  2.02 2.45 2.62 2.58 2.45 2.22 1.87 1.25],[1.3  2.02 2.45 2.62 2.59 2.46 2.23 1.87 1.24],[1.29 2.03 2.46 2.63 2.62 2.51 2.27 1.86 1.23],[1.28 2.   2.4  2.58 2.6  2.48 2.23 1.86 1.23],[1.29 2.03 2.43 2.64 2.69 2.57 2.32 1.87 1.21],[1.29 2.01 2.42 2.61 2.65 2.55 2.31 1.85 1.19],[1.3  2.04 2.49 2.67 2.64 2.47 2.21 1.88 1.27],[1.3  2.03 2.46 2.63 2.58 2.43 2.22 1.88 1.26],[1.29 2.03 2.46 2.64 2.62 2.48 2.25 1.89 1.26],[1.29 2.02 2.45 2.61 2.57 2.45 2.22 1.87 1.24],[1.3  2.03 2.47 2.64 2.6  2.46 2.22 1.87 1.25],[1.3  2.02 2.46 2.62 2.58 2.44 2.22 1.88 1.25],,,,
5,1,0.2,[1.43 2.29 2.85 3.2  3.38 3.34 3.09 2.61 1.75],[1.56 2.28 2.73 2.93 2.96 2.85 2.54 2.06 1.28],[1.34 2.17 2.65 2.95 3.05 2.95 2.65 2.12 1.31],[1.3  2.05 2.49 2.69 2.68 2.52 2.23 1.93 1.3 ],[1.29 2.04 2.48 2.68 2.65 2.48 2.22 1.92 1.29],[1.29 2.04 2.46 2.63 2.68 2.56 2.31 1.87 1.21],[1.29 2.03 2.45 2.61 2.62 2.5  2.26 1.86 1.22],[1.29 2.02 2.45 2.63 2.6  2.47 2.24 1.88 1.25],[1.29 2.02 2.46 2.63 2.6  2.47 2.24 1.88 1.25],[1.29 2.02 2.45 2.62 2.59 2.46 2.23 1.87 1.25],[1.29 2.04 2.46 2.63 2.63 2.52 2.27 1.87 1.25],[1.29 2.02 2.45 2.61 2.6  2.47 2.24 1.86 1.24],[1.29 2.02 2.42 2.61 2.65 2.54 2.29 1.85 1.21],[1.31 2.02 2.41 2.58 2.6  2.48 2.24 1.84 1.19],[1.3  2.03 2.47 2.65 2.6  2.45 2.22 1.88 1.28],[1.3  2.03 2.46 2.64 2.59 2.43 2.21 1.88 1.27],[1.29 2.02 2.47 2.65 2.61 2.46 2.22 1.88 1.27],[1.3  2.03 2.46 2.64 2.59 2.43 2.21 1.88 1.27],[1.29 2.03 2.46 2.64 2.6  2.47 2.23 1.87 1.27],[1.3  2.02 2.46 2.62 2.59 2.46 2.22 1.87 1.25],,,,
6,1,0.2,[1.43 2.29 2.85 3.2  3.38 3.34 3.09 2.61 1.75],[1.56 2.28 2.73 2.93 2.96 2.85 2.54 2.06 1.28],[1.34 2.17 2.65 2.95 3.05 2.95 2.65 2.12 1.31],[1.3  2.05 2.49 2.69 2.68 2.52 2.23 1.93 1.3 ],[1.3  2.04 2.48 2.67 2.64 2.47 2.22 1.91 1.29],[1.29 2.03 2.45 2.63 2.67 2.54 2.3  1.87 1.21],[1.29 2.03 2.45 2.61 2.62 2.5  2.26 1.86 1.22],[1.29 2.02 2.45 2.63 2.6  2.47 2.24 1.88 1.25],[1.29 2.02 2.45 2.62 2.6  2.48 2.24 1.87 1.25],[1.29 2.02 2.45 2.62 2.6  2.48 2.24 1.87 1.25],[1.29 2.04 2.47 2.64 2.62 2.51 2.27 1.86 1.24],[1.29 2.03 2.45 2.62 2.62 2.51 2.27 1.86 1.23],[1.31 2.03 2.43 2.61 2.63 2.51 2.27 1.84 1.21],[1.35 2.08 2.46 2.65 2.61 2.5  2.24 1.83 1.18],[1.31 2.08 2.51 2.68 2.71 2.59 2.34 1.89 1.21],[1.29 2.02 2.44 2.61 2.61 2.49 2.25 1.87 1.24],[1.29 2.03 2.46 2.64 2.61 2.48 2.24 1.88 1.27],[1.29 2.03 2.45 2.63 2.61 2.5  2.26 1.87 1.25],[1.3  2.03 2.46 2.64 2.61 2.48 2.24 1.87 1.28],[1.3  2.03 2.45 2.62 2.58 2.44 2.2  1.86 1.26],,,,
7,1,0.2,[1.43 2.29 2.85 3.2  3.38 3.34 3.09 2.61 1.75],[1.56 2.28 2.73 2.93 2.96 2.85 2.54 2.06 1.28],[1.34 2.17 2.65 2.95 3.05 2.95 2.65 2.12 1.31],[1.3  2.05 2.49 2.69 2.68 2.52 2.23 1.93 1.3 ],[1.3  2.04 2.48 2.67 2.64 2.47 2.22 1.91 1.29],[1.3  2.04 2.46 2.63 2.69 2.56 2.32 1.87 1.2 ],[1.29 2.03 2.45 2.61 2.62 2.5  2.26 1.86 1.22],[1.29 2.03 2.45 2.62 2.61 2.49 2.26 1.87 1.24],[1.29 2.03 2.45 2.62 2.61 2.5  2.26 1.87 1.24],[1.29 2.03 2.45 2.62 2.64 2.52 2.28 1.87 1.23],[1.29 2.03 2.46 2.63 2.61 2.5  2.25 1.85 1.24],[1.28 2.01 2.41 2.59 2.61 2.5  2.24 1.85 1.22],[1.34 2.07 2.47 2.69 2.68 2.54 2.27 1.87 1.19],[1.38 2.11 2.51 2.72 2.71 2.57 2.3  1.89 1.19],[1.3  2.04 2.45 2.62 2.63 2.52 2.29 1.85 1.22],[1.31 2.04 2.47 2.63 2.61 2.47 2.23 1.83 1.24],[1.3  2.03 2.45 2.62 2.61 2.51 2.26 1.84 1.22],[1.3  2.06 2.47 2.66 2.72 2.6  2.35 1.89 1.19],[1.29 2.05 2.47 2.64 2.62 2.53 2.28 1.86 1.23],[1.28 2.02 2.43 2.61 2.64 2.53 2.28 1.85 1.22],,,,
8,1,0.2,[1.43 2.29 2.85 3.2  3.38 3.34 3.09 2.61 1.75],[1.56 2.28 2.73 2.93 2.96 2.85 2.54 2.06 1.28],[1.34 2.17 2.65 2.95 3.05 2.95 2.65 2.12 1.31],[1.3  2.05 2.49 2.69 2.68 2.52 2.23 1.93 1.3 ],[1.3  2.04 2.48 2.67 2.64 2.47 2.22 1.91 1.29],[1.31 2.05 2.47 2.65 2.71 2.59 2.35 1.88 1.2 ],[1.29 2.03 2.45 2.61 2.62 2.5  2.26 1.86 1.22],[1.3  2.06 2.47 2.68 2.74 2.62 2.36 1.9  1.19],[1.3  2.05 2.47 2.67 2.73 2.62 2.36 1.9  1.19],[1.29 2.04 2.46 2.64 2.69 2.57 2.32 1.87 1.21],[1.29 2.03 2.44 2.62 2.62 2.5  2.26 1.86 1.25],[1.29 2.01 2.42 2.6  2.6  2.48 2.24 1.86 1.23],[1.32 2.06 2.47 2.71 2.77 2.66 2.39 1.94 1.17],[1.42 2.14 2.55 2.77 2.78 2.64 2.34 1.92 1.21],[1.3  2.06 2.46 2.66 2.73 2.59 2.35 1.9  1.18],[1.31 2.03 2.43 2.62 2.66 2.55 2.31 1.87 1.17],[1.31 2.08 2.48 2.67 2.73 2.61 2.37 1.9  1.18],[1.32 2.07 2.48 2.7  2.76 2.65 2.39 1.92 1.17],[1.29 2.03 2.44 2.62 2.66 2.54 2.31 1.86 1.2 ],[1.3  2.03 2.44 2.62 2.61 2.5  2.25 1.83 1.21],,,,
9,1,0.2,[1.43 2.29 2.85 3.2  3.38 3.34 3.09 2.61 1.75],[1.56 2.28 2.73 2.93 2.96 2.85 2.54 2.06 1.28],[1.34 2.17 2.65 2.95 3.05 2.95 2.65 2.12 1.31],[1.3  2.05 2.49 2.69 2.68 2.52 2.23 1.93 1.3 ],[1.3  2.05 2.49 2.69 2.67 2.51 2.23 1.92 1.3 ],[1.3  2.03 2.45 2.62 2.58 2.45 2.22 1.87 1.24],[1.28 2.03 2.45 2.62 2.62 2.51 2.27 1.86 1.23],[1.28 2.03 2.45 2.62 2.64 2.52 2.28 1.87 1.23],[1.28 2.03 2.45 2.62 2.61 2.5  2.26 1.86 1.23],[1.28 2.03 2.45 2.62 2.61 2.5  2.26 1.87 1.23],,,,,,,,,,,,,,
