,Quantile,risk_aversion,Target,knn,cart_date,rf,Ave,Insample,SalvaBench,CRPS,DF_0,DF_0.1,DF_1,CRPS-LR,CRPS-MLP,SalvaBench-LR,SalvaBench-MLP,DF-LR_0,DF-MLP_0,DF-LR_0.1,DF-MLP_0.1,DF-LR_1,DF-MLP_1,invW-0,invW-0.1,invW-1,invW-inf
0,0.1,0.2,1,1.601480579,1.712193295,1.569776276,1.4645852,,1.461421135,1.466366547,1.470743448,1.465242204,1.464888946,1.474763027,1.461147614,1.465221485,1.470662022,1.458280897,1.430921565,1.473227143,1.45335994,1.474777513,1.452971471,1.463142371,1.46193551,1.459284709,1.458020724
1,0.2,0.2,1,2.129600314,2.151164766,2.056438485,1.931089368,,1.9043659,1.906192521,1.91483086,1.90505471,1.903987629,1.920733788,1.904018221,1.923870991,1.911834272,1.918075227,1.933187362,1.920732499,1.886148022,1.92072685,1.890008376,1.928266605,1.927747124,1.927204767,1.927011403
2,0.3,0.2,1,2.507056141,2.458622412,2.391836585,2.201342834,,2.17455165,2.174339413,2.175084594,2.174368676,2.174414935,2.181682225,2.166110829,2.203245325,2.183073756,2.181069051,2.169232094,2.181486612,2.145779132,2.181638143,2.149496936,2.197753987,2.197556481,2.196373065,2.195887268
3,0.4,0.2,1,2.768424848,2.590028994,2.589727356,2.334974949,,2.30319041,2.281092002,2.28149055,2.278233888,2.281125591,2.299259146,2.280010724,2.331554857,2.287182608,2.294155833,2.257108338,2.295793241,2.261095413,2.299213407,2.262560221,2.32044476,2.320051615,2.319103988,2.318498488
4,0.5,0.2,1,2.871112235,2.59869082,2.661120565,2.324121496,,2.33193224,2.28798062,2.254625398,2.278428995,2.282153683,2.309045704,2.286948164,2.35093755,2.333809357,2.281227533,2.240852426,2.309385264,2.238089012,2.308372715,2.263662585,2.299212251,2.299180869,2.299009964,2.298842034
5,0.6,0.2,1,2.856209365,2.547800611,2.583211358,2.220465353,,2.250198175,2.197687539,2.167808382,2.182184411,2.187950108,2.220387991,2.200729357,2.236944401,2.188841077,2.186638633,2.141620921,2.217165066,2.158268218,2.220096417,2.154528507,2.191637836,2.192222035,2.193924033,2.19503034
6,0.7,0.2,1,2.746808664,2.339061484,2.387151673,2.018639145,,2.068447699,2.026738263,2.021994279,2.017123996,2.019804195,2.048834737,2.025903583,2.019100793,2.008906728,2.034037558,1.972396283,2.047594817,1.983273406,2.048774218,1.988056656,1.987985224,1.988990272,1.992596684,1.994966184
7,0.8,0.2,1,2.396921394,1.986208867,2.041248744,1.760606291,,1.787166595,1.759854491,1.780003627,1.757640818,1.757844883,1.776207313,1.756089586,1.759043804,1.774183951,1.791589169,1.720411274,1.763758341,1.733342577,1.77622825,1.749227259,1.749905921,1.750245236,1.752349494,1.753069252
8,0.9,0.2,1,1.854625479,1.509791056,1.524459606,1.399733836,,1.350983036,1.347669621,1.36066219,1.350490592,1.352405507,1.35815896,1.349813858,1.395489458,1.383030321,1.357795304,1.335115354,1.354392548,1.34467559,1.358028453,1.355601418,1.387849139,1.388369542,1.389979307,1.390639377
9,0.1,0.2,1,1.6014805793554627,1.7121932954728838,1.5697762760109437,1.4645851999742328,,1.461421134853264,1.4658909961226592,1.4622829487415128,1.466183572504984,1.4660785095884223,1.4747630267974132,1.4611476082516703,1.4652214845124931,1.4706620219191102,1.4582808971695338,1.4309215046103112,1.4732271434408302,1.4533599807068638,1.4747775130825165,1.4529714729177952,1.4631423712886287,1.4619355101799232,1.459284709294919,1.4580207240125949
10,0.2,0.2,1,2.129600313580236,2.151164765751933,2.0564384845673644,1.9310893679964796,,1.9043659002029145,1.9055931548396465,1.9090297785834276,1.905990299028251,1.9053381880630242,1.9207337883276605,1.904018136202397,1.9238709910780571,1.9118343368325728,1.9180752270608246,1.9331872386359583,1.9207324994843775,1.8861480423596124,1.9207268495450496,1.8900083747349627,1.9282666054700126,1.9277471236560415,1.9272047667392402,1.9270114032951
11,0.3,0.2,1,2.5070561407852803,2.458622411875275,2.3918365853693,2.2013428335523018,,2.174551650392761,2.17410764416415,2.1709061794193736,2.1744743835310394,2.1744335610873793,2.1816822248334162,2.1661108274685237,2.2032453251619217,2.183073829926464,2.1810690509826003,2.1692322204745693,2.1814866114060942,2.1457793046818123,2.181638142725983,2.1494969420500714,2.1977539870846114,2.1975564809771786,2.196373064735733,2.1958872678182617
