,Target,Model-0,Model-1,Model-2,Model-3,Model-4,Model-5,Model-6,Model-7,Model-8,Ave,Insample,SalvaBench,CRPS,DF_0.1,DF_1,DF_10
0,Z1,[ 6.56  9.02 10.42 11.21 11.5  11.39 10.72  9.42  7.2 ],[ 6.66  9.14 10.57 11.01 10.93 10.37  9.1   7.21  4.7 ],[ 5.63  8.52 10.43 11.31 11.59 11.31 10.52  8.94  6.34],[ 8.63 11.17 12.8  13.3  13.01 12.25 10.93  8.89  6.01],[ 8.24 11.28 12.83 13.32 13.27 12.55 11.15  8.96  5.87],[2.6  3.93 4.91 5.56 5.81 5.75 5.32 4.59 3.3 ],[2.75 4.27 5.26 5.81 5.97 5.71 5.26 4.49 3.19],[3.12 5.01 6.43 7.3  7.77 7.77 7.29 6.36 4.61],[ 9.91 13.24 14.98 15.54 15.13 14.32 12.62 10.05  6.4 ],[2.52 4.37 5.92 7.22 8.1  8.3  7.78 6.41 4.11],[2.48 4.09 5.12 5.73 6.09 6.24 6.12 5.41 3.68],[2.34 3.78 4.69 5.28 5.56 5.51 5.09 4.31 2.96],[2.38 3.76 4.69 5.3  5.55 5.47 5.04 4.27 2.9 ],[2.53 4.11 5.15 5.74 6.03 6.2  6.1  5.38 3.68],[2.47 3.85 4.77 5.36 5.59 5.5  5.1  4.39 3.13],[2.38 3.75 4.69 5.29 5.54 5.46 5.04 4.27 2.91]
1,Z1,[ 6.56  9.02 10.42 11.21 11.5  11.39 10.72  9.42  7.2 ],[ 6.66  9.14 10.57 11.01 10.93 10.37  9.1   7.21  4.7 ],[ 5.63  8.52 10.43 11.31 11.59 11.31 10.52  8.94  6.34],[ 8.63 11.17 12.8  13.3  13.01 12.25 10.93  8.89  6.01],[ 8.24 11.28 12.83 13.32 13.27 12.55 11.15  8.96  5.87],[2.6  3.93 4.91 5.56 5.81 5.75 5.32 4.59 3.3 ],[2.75 4.27 5.26 5.81 5.97 5.71 5.26 4.49 3.19],[3.12 5.01 6.43 7.3  7.77 7.77 7.29 6.36 4.61],[ 9.91 13.24 14.98 15.54 15.13 14.32 12.62 10.05  6.4 ],[2.52 4.37 5.92 7.22 8.1  8.3  7.78 6.41 4.11],[2.48 4.11 5.17 5.84 6.23 6.43 6.3  5.55 3.74],[2.34 3.76 4.71 5.34 5.62 5.58 5.17 4.35 3.01],[2.38 3.76 4.68 5.29 5.53 5.46 5.03 4.26 2.89],[2.49 4.2  5.47 6.48 7.15 7.47 7.19 6.08 3.99],[2.37 3.77 4.7  5.31 5.56 5.5  5.09 4.37 3.07],[2.37 3.75 4.7  5.32 5.57 5.48 5.04 4.25 2.87]
2,Z1,[ 6.56  9.02 10.42 11.21 11.5  11.39 10.72  9.42  7.2 ],[ 6.66  9.14 10.57 11.01 10.93 10.37  9.1   7.21  4.7 ],[ 5.63  8.52 10.43 11.31 11.59 11.31 10.52  8.94  6.34],[ 8.63 11.17 12.8  13.3  13.01 12.25 10.93  8.89  6.01],[ 8.24 11.28 12.83 13.32 13.27 12.55 11.15  8.96  5.87],[2.6  3.93 4.91 5.56 5.81 5.75 5.32 4.59 3.3 ],[2.75 4.27 5.26 5.81 5.97 5.71 5.26 4.49 3.19],[3.12 5.01 6.43 7.3  7.77 7.77 7.29 6.36 4.61],[ 9.91 13.24 14.98 15.54 15.13 14.32 12.62 10.05  6.4 ],[2.52 4.37 5.92 7.22 8.1  8.3  7.78 6.41 4.11],[2.48 4.12 5.2  5.91 6.34 6.56 6.42 5.63 3.78],[2.34 3.78 4.73 5.36 5.64 5.61 5.19 4.36 3.03],[2.38 3.76 4.69 5.29 5.54 5.46 5.03 4.26 2.88],[2.46 3.99 4.92 5.44 5.67 5.66 5.43 4.88 3.42],[2.38 3.8  4.76 5.36 5.61 5.53 5.14 4.46 3.2 ],[2.4  3.77 4.7  5.31 5.55 5.46 5.04 4.27 2.89]
3,Z1,[ 6.56  9.02 10.42 11.21 11.5  11.39 10.72  9.42  7.2 ],[ 6.66  9.14 10.57 11.01 10.93 10.37  9.1   7.21  4.7 ],[ 5.63  8.52 10.43 11.31 11.59 11.31 10.52  8.94  6.34],[ 8.63 11.17 12.8  13.3  13.01 12.25 10.93  8.89  6.01],[ 8.24 11.28 12.83 13.32 13.27 12.55 11.15  8.96  5.87],[2.6  3.93 4.91 5.56 5.81 5.75 5.32 4.59 3.3 ],[2.75 4.27 5.26 5.81 5.97 5.71 5.26 4.49 3.19],[3.12 5.01 6.43 7.3  7.77 7.77 7.29 6.36 4.61],[ 9.91 13.24 14.98 15.54 15.13 14.32 12.62 10.05  6.4 ],[2.52 4.37 5.92 7.22 8.1  8.3  7.78 6.41 4.11],[2.48 4.13 5.23 5.97 6.43 6.68 6.52 5.7  3.81],[2.35 3.77 4.71 5.34 5.61 5.54 5.11 4.31 2.94],[2.38 3.76 4.69 5.29 5.54 5.47 5.05 4.27 2.91],[2.58 4.41 5.74 6.52 6.88 6.95 6.77 5.9  3.94],[2.47 3.87 4.77 5.34 5.56 5.46 5.06 4.31 3.01],[2.36 3.75 4.68 5.29 5.54 5.47 5.05 4.28 2.9 ]
4,Z1,[ 6.56  9.02 10.42 11.21 11.5  11.39 10.72  9.42  7.2 ],[ 6.66  9.14 10.57 11.01 10.93 10.37  9.1   7.21  4.7 ],[ 5.63  8.52 10.43 11.31 11.59 11.31 10.52  8.94  6.34],[ 8.63 11.17 12.8  13.3  13.01 12.25 10.93  8.89  6.01],[ 8.24 11.28 12.83 13.32 13.27 12.55 11.15  8.96  5.87],[2.6  3.93 4.91 5.56 5.81 5.75 5.32 4.59 3.3 ],[2.75 4.27 5.26 5.81 5.97 5.71 5.26 4.49 3.19],[3.12 5.01 6.43 7.3  7.77 7.77 7.29 6.36 4.61],[ 9.91 13.24 14.98 15.54 15.13 14.32 12.62 10.05  6.4 ],[2.52 4.37 5.92 7.22 8.1  8.3  7.78 6.41 4.11],[2.48 4.14 5.26 6.03 6.52 6.79 6.61 5.76 3.83],[2.38 3.77 4.71 5.31 5.58 5.5  5.07 4.27 2.89],[2.38 3.76 4.68 5.29 5.53 5.46 5.03 4.26 2.89],[2.47 3.88 4.82 5.39 5.62 5.54 5.14 4.49 3.24],[2.41 3.79 4.71 5.32 5.56 5.48 5.06 4.3  2.99],[2.38 3.76 4.69 5.29 5.54 5.47 5.04 4.27 2.89]
5,Z1,[ 6.56  9.02 10.42 11.21 11.5  11.39 10.72  9.42  7.2 ],[ 6.66  9.14 10.57 11.01 10.93 10.37  9.1   7.21  4.7 ],[ 5.63  8.52 10.43 11.31 11.59 11.31 10.52  8.94  6.34],[ 8.63 11.17 12.8  13.3  13.01 12.25 10.93  8.89  6.01],[ 8.24 11.28 12.83 13.32 13.27 12.55 11.15  8.96  5.87],[2.6  3.93 4.91 5.56 5.81 5.75 5.32 4.59 3.3 ],[2.75 4.27 5.26 5.81 5.97 5.71 5.26 4.49 3.19],[3.12 5.01 6.43 7.3  7.77 7.77 7.29 6.36 4.61],[ 9.91 13.24 14.98 15.54 15.13 14.32 12.62 10.05  6.4 ],[2.52 4.37 5.92 7.22 8.1  8.3  7.78 6.41 4.11],[2.49 4.14 5.27 6.06 6.56 6.85 6.66 5.79 3.85],[2.43 3.83 4.73 5.33 5.57 5.47 5.05 4.23 2.86],[2.38 3.76 4.69 5.29 5.54 5.46 5.04 4.27 2.9 ],[2.5  4.08 5.05 5.59 5.85 5.84 5.5  4.8  3.35],[2.42 3.79 4.74 5.34 5.57 5.47 5.05 4.26 2.89],[2.38 3.77 4.69 5.28 5.53 5.46 5.04 4.27 2.89]
6,Z1,[ 6.56  9.02 10.42 11.21 11.5  11.39 10.72  9.42  7.2 ],[ 6.66  9.14 10.57 11.01 10.93 10.37  9.1   7.21  4.7 ],[ 5.63  8.52 10.43 11.31 11.59 11.31 10.52  8.94  6.34],[ 8.63 11.17 12.8  13.3  13.01 12.25 10.93  8.89  6.01],[ 8.24 11.28 12.83 13.32 13.27 12.55 11.15  8.96  5.87],[2.6  3.93 4.91 5.56 5.81 5.75 5.32 4.59 3.3 ],[2.75 4.27 5.26 5.81 5.97 5.71 5.26 4.49 3.19],[3.12 5.01 6.43 7.3  7.77 7.77 7.29 6.36 4.61],[ 9.91 13.24 14.98 15.54 15.13 14.32 12.62 10.05  6.4 ],[2.52 4.37 5.92 7.22 8.1  8.3  7.78 6.41 4.11],[2.48 4.15 5.29 6.11 6.64 6.94 6.75 5.85 3.87],[2.42 3.81 4.72 5.31 5.55 5.45 5.03 4.22 2.85],[2.39 3.77 4.69 5.29 5.55 5.47 5.05 4.27 2.91],[2.51 3.98 4.94 5.46 5.67 5.55 5.12 4.32 3.03],[2.39 3.79 4.74 5.35 5.59 5.51 5.09 4.38 3.11],[2.4  3.78 4.69 5.29 5.53 5.46 5.04 4.27 2.9 ]
7,Z1,[ 6.56  9.02 10.42 11.21 11.5  11.39 10.72  9.42  7.2 ],[ 6.66  9.14 10.57 11.01 10.93 10.37  9.1   7.21  4.7 ],[ 5.63  8.52 10.43 11.31 11.59 11.31 10.52  8.94  6.34],[ 8.63 11.17 12.8  13.3  13.01 12.25 10.93  8.89  6.01],[ 8.24 11.28 12.83 13.32 13.27 12.55 11.15  8.96  5.87],[2.6  3.93 4.91 5.56 5.81 5.75 5.32 4.59 3.3 ],[2.75 4.27 5.26 5.81 5.97 5.71 5.26 4.49 3.19],[3.12 5.01 6.43 7.3  7.77 7.77 7.29 6.36 4.61],[ 9.91 13.24 14.98 15.54 15.13 14.32 12.62 10.05  6.4 ],[2.52 4.37 5.92 7.22 8.1  8.3  7.78 6.41 4.11],[2.48 4.16 5.32 6.19 6.77 7.07 6.87 5.91 3.91],[2.46 3.9  4.79 5.34 5.57 5.46 5.03 4.24 2.86],[2.38 3.76 4.69 5.29 5.54 5.46 5.04 4.27 2.9 ],[2.52 4.01 4.91 5.49 5.7  5.6  5.18 4.61 3.23],[2.44 3.84 4.78 5.39 5.61 5.5  5.07 4.28 2.94],[2.39 3.78 4.71 5.31 5.55 5.46 5.03 4.24 2.87]
8,Z1,[ 6.56  9.02 10.42 11.21 11.5  11.39 10.72  9.42  7.2 ],[ 6.66  9.14 10.57 11.01 10.93 10.37  9.1   7.21  4.7 ],[ 5.63  8.52 10.43 11.31 11.59 11.31 10.52  8.94  6.34],[ 8.63 11.17 12.8  13.3  13.01 12.25 10.93  8.89  6.01],[ 8.24 11.28 12.83 13.32 13.27 12.55 11.15  8.96  5.87],[2.6  3.93 4.91 5.56 5.81 5.75 5.32 4.59 3.3 ],[2.75 4.27 5.26 5.81 5.97 5.71 5.26 4.49 3.19],[3.12 5.01 6.43 7.3  7.77 7.77 7.29 6.36 4.61],[ 9.91 13.24 14.98 15.54 15.13 14.32 12.62 10.05  6.4 ],[2.52 4.37 5.92 7.22 8.1  8.3  7.78 6.41 4.11],[2.48 4.18 5.39 6.33 6.97 7.3  7.06 6.03 3.96],[2.47 3.91 4.78 5.31 5.56 5.46 5.07 4.32 2.95],[2.38 3.76 4.69 5.3  5.55 5.46 5.04 4.26 2.89],[2.45 3.85 4.82 5.42 5.65 5.54 5.1  4.31 2.92],[2.43 3.83 4.8  5.4  5.64 5.53 5.09 4.31 2.91],[2.38 3.77 4.69 5.29 5.54 5.47 5.05 4.27 2.9 ]
9,Z2,[ 5.08  7.69  9.51 10.78 11.63 11.77 11.17  9.98  7.48],[ 5.97  9.02 10.8  11.53 11.68 11.37 10.4   8.76  6.2 ],[ 4.94  7.84  9.63 10.45 10.82 10.62  9.82  8.35  5.92],[ 7.18  9.56 11.31 11.89 11.85 11.24 10.03  8.26  5.6 ],[ 7.19 10.14 11.53 12.09 12.14 11.62 10.35  8.45  5.51],[ 5.46  7.79  9.62 10.66 11.31 11.53 11.25 10.39  8.38],[ 5.14  8.01 10.01 11.18 11.72 11.72 11.25 10.37  8.42],[ 4.22  6.93  9.01 10.51 11.54 11.84 11.43 10.46  8.13],[ 6.42  9.17 10.85 11.51 11.36 11.02  9.66  7.61  4.8 ],[3.19 5.63 7.44 8.62 9.21 9.16 8.5  7.03 4.44],[3.2  5.67 7.54 8.84 9.51 9.34 8.48 6.96 4.42],[3.12 5.4  7.18 8.38 9.02 8.93 8.34 7.03 4.46],[3.1  5.35 7.05 8.12 8.61 8.77 8.44 7.07 4.44],[3.14 5.49 7.27 8.45 9.   9.   8.44 7.   4.43],[3.13 5.39 7.09 8.23 8.73 8.89 8.52 7.11 4.46],[3.11 5.36 7.07 8.14 8.6  8.82 8.54 7.1  4.45]
