,Target,risk_aversion,CRPS-LR,CRPS-MLP,SalvaBench-LR,SalvaBench-MLP
0,Z1,0.5,[2.35 3.76 4.67 5.27 5.54 5.49 5.09 4.35 3.03],[2.34 3.75 4.68 5.31 5.56 5.52 5.1  4.35 3.03],[2.35 3.75 4.68 5.33 5.64 5.58 5.15 4.38 3.04],[2.47 3.85 4.83 5.47 5.71 5.63 5.19 4.4  3.09]
1,Z2,0.5,[3.11 5.37 7.05 8.09 8.59 8.72 8.3  6.94 4.39],[3.11 5.4  7.08 8.16 8.68 8.84 8.35 6.98 4.41],[3.17 5.4  6.97 7.93 8.36 8.43 8.16 6.87 4.35],[3.23 5.47 7.01 8.03 8.46 8.38 7.95 6.68 4.31]
2,Z3,0.5,[ 3.42  6.18  8.32  9.83 10.65 10.61  9.69  7.76  4.76],[ 3.39  6.02  8.06  9.4  10.1  10.09  9.29  7.53  4.62],[3.35 5.79 7.63 8.83 9.34 9.25 8.49 6.93 4.38],[3.23 5.63 7.4  8.58 9.15 9.04 8.3  6.83 4.41]
3,Z4,0.5,[2.67 4.3  5.38 6.15 6.55 6.59 6.21 5.25 3.45],[2.61 4.12 5.23 6.01 6.42 6.42 6.01 5.11 3.38],[2.71 4.39 5.55 6.42 6.94 7.02 6.58 5.51 3.57],[2.73 4.4  5.56 6.51 7.06 7.19 6.75 5.68 3.73]
4,Z5,0.5,[2.9  4.55 5.6  6.26 6.48 6.29 5.74 4.77 3.13],[2.85 4.48 5.57 6.23 6.48 6.33 5.8  4.8  3.16],[2.86 4.46 5.62 6.33 6.61 6.51 5.97 4.91 3.28],[2.86 4.5  5.71 6.43 6.73 6.61 6.05 4.96 3.31]
5,Z6,0.5,[3.12 4.97 6.09 6.72 6.95 6.72 6.08 5.   3.22],[3.23 5.12 6.27 6.82 7.   6.74 6.09 4.96 3.21],[3.19 4.91 6.11 6.74 6.96 6.73 6.16 5.07 3.36],[3.12 4.96 6.07 6.73 6.97 6.76 6.14 5.04 3.26]
6,Z7,0.5,[2.45 3.84 4.58 4.97 5.13 4.99 4.61 3.92 2.74],[2.44 3.83 4.59 5.   5.15 4.99 4.59 3.88 2.67],[2.44 3.81 4.59 4.98 5.12 4.99 4.63 3.99 2.79],[2.43 3.78 4.57 5.01 5.15 5.   4.63 3.99 2.79]
7,Z8,0.5,[3.   4.49 5.42 5.92 6.08 5.9  5.39 4.46 2.97],[2.98 4.46 5.38 5.89 6.08 5.91 5.39 4.44 2.98],[3.   4.47 5.38 5.91 6.11 5.95 5.48 4.64 3.22],[3.01 4.46 5.37 5.88 6.1  5.94 5.44 4.58 3.18]
8,Z9,0.5,[2.6  4.15 5.2  5.84 6.14 6.09 5.64 4.76 3.18],[2.6  4.16 5.2  5.84 6.16 6.09 5.68 4.79 3.17],[2.58 4.1  5.11 5.76 6.07 6.02 5.63 4.79 3.15],[2.6  4.13 5.13 5.77 6.15 6.15 5.79 4.91 3.19]
9,Z10,0.5,[3.69 6.13 7.83 8.81 9.29 9.16 8.42 7.02 4.68],[3.7  6.14 7.84 8.86 9.32 9.2  8.45 7.05 4.72],[3.8  6.21 7.85 9.   9.61 9.59 8.98 7.63 5.19],[3.88 6.27 7.95 9.14 9.73 9.66 9.02 7.7  5.37]
