,Quantile,risk_aversion,Target,CRPS-LR,CRPS-MLP,SalvaBench-LR,SalvaBench-MLP
0,0.2,0.5,Z1,4.1000000000000005,4.130000000000001,4.18,4.37
1,0.2,0.5,Z2,6.81,6.890000000000001,6.619999999999999,6.59
2,0.2,0.5,Z3,7.180000000000001,6.550000000000001,5.86,5.76
3,0.2,0.5,Z4,5.4,5.1,5.9799999999999995,6.1899999999999995
4,0.2,0.5,Z5,4.45,4.569999999999999,4.8500000000000005,5.050000000000001
5,0.2,0.5,Z6,5.01,4.84,5.29,5.16
6,0.2,0.5,Z7,3.64,3.63,3.6700000000000004,3.7199999999999998
7,0.2,0.5,Z8,4.65,4.63,4.73,4.7
8,0.2,0.5,Z9,4.72,4.67,4.65,4.6899999999999995
9,0.2,0.5,Z10,6.2,6.2700000000000005,6.619999999999999,6.79
