,Turbine ID,Park ID,Lat,Long,Capacity (kW)
0,10262,p_1003,46.26511,0.743756,2000.0
1,10263,p_1003,46.2616,0.751894,2000.0
2,10264,p_1003,46.26349,0.747495,2000.0
3,10265,p_1003,46.25808,0.746588,2000.0
4,10266,p_1003,46.25975,0.742017,2000.0
5,10458,p_1088,46.326306,0.548159,2000.0
6,10459,p_1088,46.330814,0.553545,2000.0
7,10460,p_1088,46.328357,0.556084,2000.0
8,10461,p_1088,46.327994,0.569858,2000.0
9,10462,p_1088,46.331702,0.57241,2000.0
10,10562,p_1257,46.231571,0.424273582,2000.0
11,10563,p_1257,46.228847,0.426437129,2000.0
12,10564,p_1257,46.225265,0.426825105,2000.0
13,10565,p_1257,46.221308,0.428955128,2000.0
14,10566,p_1257,46.233788,0.430408252,2000.0
15,10567,p_1257,46.230909,0.432462125,2000.0
16,10568,p_1257,46.228215,0.433923585,2000.0
17,10569,p_1257,46.224395,0.434594419,2000.0
18,10916,p_1475,46.115591,0.254303,2000.0
19,10919,p_1475,46.118369,0.249577,2000.0
20,11132,p_1815,46.3537164,0.4265196,2000.0
21,11133,p_1815,46.351594,0.4314857,2000.0
22,11134,p_1815,46.3497224,0.4351906,2000.0
23,11135,p_1815,46.3459114,0.437594,2000.0
24,11136,p_1815,46.3435007,0.4389689,2000.0
25,11137,p_1815,46.3400201,0.4396393,2000.0
26,11203,p_1825,46.412983,0.079061,2000.0
27,11204,p_1825,46.416666,0.0841659999999999,2000.0
28,11205,p_1825,46.417632,0.091663,2000.0
29,11374,p_1937,46.110233,0.268771,2000.0
30,11378,p_1937,46.119538,0.260079,2000.0
31,11379,p_1937,46.114881,0.265635,2000.0
32,11529,p_2137,46.1786667,0.137916666,2000.0
33,11530,p_2137,46.1732778,0.137638888,2000.0
34,11531,p_2137,46.1700278,0.137472222,2000.0
35,11532,p_2137,46.1663056,0.137222222,2000.0
36,11653,p_2204,46.686302,0.136066598,2000.0
37,11654,p_2204,46.685183,0.142442334,2000.0
38,11655,p_2204,46.684482,0.146441855,2000.0
39,11656,p_2204,46.683733,0.150692262,2000.0
40,11703,p_2275,46.457196,0.028169,2000.0
41,11704,p_2275,46.458326,0.023536,2000.0
42,11705,p_2275,46.456748,0.018595,2000.0
43,11706,p_2275,46.455424,0.024411,2000.0
44,11707,p_2275,46.454102,0.0296399999999999,2000.0
45,11802,p_2292,46.413672,-0.091878,2000.0
46,11803,p_2292,46.413977,-0.086151,2000.0
47,11804,p_2292,46.413736,-0.081201,2000.0
48,11805,p_2292,46.412049,-0.075119,2000.0
49,11806,p_2292,46.409558,-0.071086,2000.0
50,11860,p_2419,46.248902,0.771289,2000.0
51,11861,p_2419,46.245599,0.773602,2000.0
52,11862,p_2419,46.243382,0.777622,2000.0
53,11863,p_2419,46.245792,0.765499,2000.0
54,11864,p_2419,46.243278,0.768585,2000.0
55,11920,p_2472,46.321462462,0.568140918,2000.0
56,11921,p_2472,46.326952096,0.562961225,2000.0
57,11922,p_2472,46.310021922,0.550188778,2000.0
58,11923,p_2472,46.312131024,0.560132469,2000.0
59,11924,p_2472,46.3078896,0.562829088,2000.0
